nct_id,brief_title,lead_sponsor,sponsor_class,resolved_company,ticker,exchange,investability_class,phases,study_status,primary_completion_date,primary_completion_date_type,conditions,drug_interventions,primary_outcome_measure,source_url,verification_status,sponsor_resolution_basis,notes
NCT03203590,Clinical Trial of Neoadjuvant Targeted Treatment to NSCLC Patients,Sun Yat-sen University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Unknown,2026-01,ESTIMATED,2-year Disease-Free Survival,Oral Navelbine + Carboplatin; Gefitinib,2-year disease free survival,https://clinicaltrials.gov/study/NCT03203590,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 2 years
NCT03219307,NOVOCART 3D Treatment Following Microfracture Failure,"Aesculap Biologics, LLC",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Active Not Recruiting,2026-01,ESTIMATED,Articular Cartilage Defect,,KOOS pain subdomain score,https://clinicaltrials.gov/study/NCT03219307,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: 24 months
NCT03630081,Study of Cefepime-tazobactam (FEP-TAZ) in Complicated Urinary Tract Infection (cUTI) or Acute Pyelonephritis (AP),Wockhardt,INDUSTRY,Wockhardt,WOCKPHARMA.NS,NSE India; no US listing,US-LISTED,Phase 3,Unknown,2026-01,ESTIMATED,Complicated Urinary Tract Infection,WCK 4282 (FEP-TAZ) 4 g; Meropenem; ciprofloxacin 500 mg Optional Oral Switch,Percentage of subjects with overall success at Day 5,https://clinicaltrials.gov/study/NCT03630081,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,lead sponsor verified row-by-row earlier in this repository,lead sponsor class: INDUSTRY | primary endpoint time frame: Day 5
NCT04597294,Prophylactic Preoperative HIPEC in Advanced Gastric Cancer at High Risk of Peritoneal Recurrence,Jagiellonian University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-01,ESTIMATED,Gastric Cancer,,Peritoneal recurrence rate,https://clinicaltrials.gov/study/NCT04597294,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 6 months
NCT04891237,Efficacy and Safety Evaluation for the Treatment of Allergy Against Grass and Olive Pollen,Inmunotek S.L.,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Recruiting,2026-01,ESTIMATED,"Rhinitis, Allergic",,CSMS: Combined Symptoms and Medication Score,https://clinicaltrials.gov/study/NCT04891237,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: 12 months
NCT05297448,Evaluation of Rifaximin SSD for Delaying Encephalopathy Decompensation in Patients With Cirrhosis,"Bausch Health Americas, Inc.",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Active Not Recruiting,2026-01,ESTIMATED,Hepatic Encephalopathy,Rifaximin SSD; Placebo,Time to first event of overt hepatic encephalopathy requiring medical intervention in hospital/ER/ED/clinic or death.,https://clinicaltrials.gov/study/NCT05297448,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: 72 weeks
NCT05686356,A Pan-TB Regimen Targeting Host and Microbe,The Aurum Institute NPC,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Active Not Recruiting,2026-01,ESTIMATED,Tuberculosis,Sutezolid; N-acetyl cysteine; Pretomanid; Bedaquiline,The proportion of patients achieving durable (non-relapsing) cure,https://clinicaltrials.gov/study/NCT05686356,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: Assessed after 1 year of post-treatment follow-up
NCT05694611,Preterm Neonates Brain Ultrasound With CEUS and Elastography,Turku University Hospital,OTHER_GOV,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Withdrawn,2026-01,ESTIMATED,Prematurity,Sulfur Hexafluoride,Quantitative assessment of neonatal brain perfusion using calculated time-intensity curve of enhancement in brain CEUS at term,https://clinicaltrials.gov/study/NCT05694611,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER_GOV | primary endpoint time frame: 1 day
NCT05696717,Phase 3 Efficacy and Durability of Ampreloxetine for the Treatment of Symptomatic nOH in Participants With Multiple System Atrophy,Theravance Biopharma,INDUSTRY,Theravance Biopharma,INVA,NASDAQ,US-LISTED,Phase 3,Active Not Recruiting,2026-01,ESTIMATED,Symptomatic Neurogenic Orthostatic Hypotension,Ampreloxetine; Placebo,Change in OHSA composite score at Week 8 during the double-blind RW period,https://clinicaltrials.gov/study/NCT05696717,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,lead sponsor verified row-by-row earlier in this repository,lead sponsor class: INDUSTRY | primary endpoint time frame: 8-week randomized withdrawal period (Week 12 to Week 20)
NCT05768503,Comparing Chidamide+Sintilimab+Bev With Standard Second-line FOLFIRI+Bev in Advanced MSS/pMMR mCRC,Sun Yat-sen University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-01,ESTIMATED,Metastatic Microsatellite-stable Colorectal Cancer,Experimental drug; Control Rx,Progression-Free Survival (PFS),https://clinicaltrials.gov/study/NCT05768503,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: Around 4 years
NCT06275035,Evaluation of Memantine in the Preservation of Memory and Neurocognition Following CSI,Tata Memorial Centre,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-01,ESTIMATED,Neurocognitive Dysfunction,Memantine Oral Tablet,Cognitive-deterioration-free survival at 2 years,https://clinicaltrials.gov/study/NCT06275035,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 2 years
NCT06815679,Physiological Effects of Nebulized Salbutamol in Acute Respiratory Failure Patients on HFNC,Università degli Studi di Ferrara,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Not Yet Recruiting,2026-01,ESTIMATED,Acute Respiratory Failure,salbutamol 2.5 mg via vibrating mesh nebulizer (VMN),To evaluate the changes of inspiratory effort based on the analysis of the oesophageal pressure curve.,https://clinicaltrials.gov/study/NCT06815679,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: The measurement of ΔPes will be conducted: After 20 minutes of ventilatory support with HFNC (Time 0) 10 minutes following the completion of Salbutamol administration (Time 1) At 1 hour, 2 hours, and 3 hours post-Salbutamol administration"
NCT05398328,Effect of Personality Traits on Reporting Outcomes of Orthodontic Treatment,University of Rijeka,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Unknown,2026-01-01,ESTIMATED,Malocclusion,,irregularity of teeth,https://clinicaltrials.gov/study/NCT05398328,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: OTHER | primary endpoint time frame: 48 months (start, 3 months, 1 year, 2 years, 1 year retention, 2 years retention)"
NCT05502809,Frozen Platelets in the Treatmentof Traumatic or Vascular Bleeding,Alrijne Ziekenhuis Leiderdorp,NETWORK,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Unknown,2026-01-01,ESTIMATED,Trauma,Deep-frozen platelets,Percentage of patients that achieved haemostasis and show signs of life.,https://clinicaltrials.gov/study/NCT05502809,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: NETWORK | primary endpoint time frame: At six hours
NCT05701436,Applicability of 3D-HDRA in Patients With Primary Liver Cancer: A Randomized Controlled Trial,Zhujiang Hospital,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Unknown,2026-01-01,ESTIMATED,"Liver, Cancer of, Primary Resectable",Oxaliplatin; Doxorubicin; Lobaplatin; Cisplatin,The one-year DFS rate,https://clinicaltrials.gov/study/NCT05701436,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: From the start date of the Treatment until date of the time of 1 year
NCT06031246,Selective Lymph Node Dissection for cT1N0M0 Invasive NSCLC With CTR>0.5 Located in the Apical Segment (ECTOP-1018),Fudan University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-01-01,ESTIMATED,Lung Adenocarcinoma,,5-year overall survival,https://clinicaltrials.gov/study/NCT06031246,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 5 years
NCT06045013,Ultrasound-guided Dextrose Injection Versus Dextrose With Methylprednisolone in Carpal Tunnel Syndrome,General and Veteran Hospital Croatian Pride Knin,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Unknown,2026-01-01,ESTIMATED,Carpal Tunnel Syndrome,5% dextrose injection; 5% dextrose injections with methylprednisolone acetate 40 mg/ml,Pain intensity at 4 weeks post injection,https://clinicaltrials.gov/study/NCT06045013,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: OTHER | primary endpoint time frame: before injection, 4 weeks post injection"
NCT06161207,3D-4K-ICG Laparoscopic Gastrectomy for Gastric Cancer,Fujian Medical University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-01-01,ESTIMATED,Gastric Cancer,,3-year disease free survival rate,https://clinicaltrials.gov/study/NCT06161207,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 3 years
NCT06452537,Safety and Efficacy of Tocilizumab in Patients With Myelin Oligodendrocyte Glycoprotein Antibody-associated Disease,Tianjin Medical University General Hospital,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Active Not Recruiting,2026-01-01,ESTIMATED,Myelin Oligodendrocyte Glycoprotein Antibody-associated Disease,Tocilizumab; Prednisone,Time from randomization to the first MOGAD relapse as determined by an adjudication committee,https://clinicaltrials.gov/study/NCT06452537,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: Baseline, Up To 60 Weeks (End of Study)"
NCT06559072,Ultra-early STatin in Patients With Aneurysmal subaRachnoid Hemorrhage (Ue-STAR),The George Institute,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Not Yet Recruiting,2026-01-01,ESTIMATED,Subarachnoid Hemorrhage,Atorvastatin,Utility-Weighted Modified Rankin Scale,https://clinicaltrials.gov/study/NCT06559072,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 6 months after discharge
NCT06622564,Decreasing Postoperative Blood Loss and Seizures by Timing of Intravenous Tranexamic Acid 2 Pilot Trial,Hamilton Health Sciences Corporation,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Not Yet Recruiting,2026-01-01,ESTIMATED,Bleeding,Before CPB Tranexamic Acid; After CPB Tranexamic Acid; Before CPB Placebo; After CPB Placebo,Measure the level of plasma TxA at 5 time points,https://clinicaltrials.gov/study/NCT06622564,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: OTHER | primary endpoint time frame: From baseline to on arrival in the intensive care unit, 3 hours after arrival, 6 hours after arrival, and the next morning."
NCT06650384,Efficacy and Safety of N-Acetylcysteine Versus Alpha-Lipoic Acid in Colistin-Induced Nephrotoxicity,Ain Shams University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Completed,2026-01-01,ACTUAL,Nephrotoxicity,Addition of sachets of N-acetyl cysteine 1200 mg twice/day to the maintenance dose of colistin; Addition of Alpha-lipoic acid 600mg twice daily to the maintenance dose of colistin,Occurrence of colistin induced nephrotoxicity,https://clinicaltrials.gov/study/NCT06650384,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: Starting from randomization date till patient ICU discharge, death from any cause or colistin discontinuation, whichever comes first, up to 14 days"
NCT06691412,Obeticholic Acid Among Chronic HBV Patients with Hepatic Steatosis : Clinical and Portal Doppler Outcomes,Assiut University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Not Yet Recruiting,2026-01-01,ESTIMATED,Hepatitis B Virus,Obeticholic Acid 5 mg,Degree of hepatic steatosis before and after six months of obeticholic acid use,https://clinicaltrials.gov/study/NCT06691412,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 6 months
