nct_id,brief_title,lead_sponsor,sponsor_class,resolved_company,ticker,exchange,investability_class,phases,study_status,primary_completion_date,primary_completion_date_type,conditions,drug_interventions,primary_outcome_measure,source_url,verification_status,sponsor_resolution_basis,notes,window_source
NCT00981266,Spectra Breast Implant Study,"Mentor Worldwide, LLC",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Withdrawn,2024-01,ESTIMATED,Augmentation,,"Safety will be determined by the incidence, severity, method of resolution, and duration for all adverse events on a per implant and per subject basis.",https://clinicaltrials.gov/study/NCT00981266,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: 10 years,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT02590523,Intracameral Antibiotic Safety Study,"Panhandle Eye Group, LLP",OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Suspended,2024-01,ESTIMATED,Intracameral Antibiotics,Vancomycin; Moxifloxacin; Placebo,Occurrence of adverse event,https://clinicaltrials.gov/study/NCT02590523,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: 3 months,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT02620280,Neoadjuvant Therapy in TRIPle Negative Breast Cancer With antiPDL1,Fondazione Michelangelo,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2024-01,ACTUAL,Invasive Ductal Breast Carcinoma,Carboplatin; Abraxane; MPDL3280A; Anthra,Event Free Survival (EFS),https://clinicaltrials.gov/study/NCT02620280,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: 5 years after the randomization of the last patient,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT02794337,TACE vs TACE+SBRT for Unresectable Hepatocellular Cancer,Tata Memorial Hospital,OTHER_GOV,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Unknown,2024-01,ESTIMATED,"Carcinoma, Hepatocellular",Sorafenib,In-field Progression Free Survival,https://clinicaltrials.gov/study/NCT02794337,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER_GOV (academic/government/network sponsor),lead sponsor class: OTHER_GOV | Phase 2/3 combined study | primary endpoint time frame: Upto 24 months,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT02993315,Melanoma Patients Immunized with Natural DenDritic Cells,Radboud University Medical Center,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2024-01,ACTUAL,Melanoma (Skin),,Recurrence-free survival rate,https://clinicaltrials.gov/study/NCT02993315,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: 2 years,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT03106454,Ovulation Incidence in Oral Contraceptive Users,University of Southern California,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2024-01,ACTUAL,Contraception,"Ethinyl Estradiol, Norethindrone acetate, ferrous fumarate; Norethindrone",Ovulation,https://clinicaltrials.gov/study/NCT03106454,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: A single 28 day cycle,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT04885634,Semaglutide for the Reduction of Arrhythmia Burden in Overweight AF Patients,Axel Brandes,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Withdrawn,2024-01,ESTIMATED,Atrial Fibrillation,Semaglutide Injectable Product; Placebo,Number of Participants to Complete Recruitment,https://clinicaltrials.gov/study/NCT04885634,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),"lead sponsor class: OTHER | primary endpoint time frame: Up to 68 weeks, until end of treatment",clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT05054179,Pecto-Intercostal Fascial Plane Block Catheter Trial for Reduction of Sternal Pain,University of British Columbia,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Unknown,2024-01,ESTIMATED,Cardiac Surgery,Ropivacaine 0.2% Injectable Solution Bolus; Ropivacaine 0.2% Injectable Solution Infusion,Post-operative Sternal Pain on coughing at 24 hours.,https://clinicaltrials.gov/study/NCT05054179,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: Post-surgery 24 hours after intervention,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT05084872,Hydroxychloroquine in Isolated Cutaneous Mastocytosis Patients or Indolent Systemic Mastocytosis With Associated Skin Involvement Patients,"University Hospital, Toulouse",OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Unknown,2024-01,ESTIMATED,Mastocytosis,Hydroxychloroquine,Change of mast cell activation symptoms,https://clinicaltrials.gov/study/NCT05084872,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: 12 month,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT05142527,Study to Evaluate the Safety and Efficacy of a Monoclonal Antibody Cocktail for the Prevention of COVID-19,"Alachua Government Services, Inc.",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 2 / Phase 3,Withdrawn,2024-01,ESTIMATED,COVID-19,ADM03820,Incidence and severity of reactogenicity through Day 7 and adverse events (AEs) through end of study (Phase 2),https://clinicaltrials.gov/study/NCT05142527,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | Phase 2/3 combined study | primary endpoint time frame: 540 days,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
