company_name,ticker,exchange,us_investable_class,decisions_tracked,approvals_tracked,crls_tracked,withdrawals_flagged,priority_review_count,accelerated_approval_count,standard_review_count,pathway_known_count,success_rate_pct,success_rate_wilson_lower_pct,success_rate_shrunk_pct,price_events,positive_reaction_rate_pct,median_pct_on_decision,median_pct_t1,pipeline_programs,advanced_count,paused_count,pipeline_progression_pct,score_outcome,score_market,score_experience,score_pathway,score_pipeline,total_score_0_100,grade,confidence,last_decision_date,recency_days,data_scope,inputs_source,notes
BioMarin Pharmaceutical Inc.,BMRN,NASDAQ,US-LISTED,6,6,0,0,4,0,0,4,100.0,61.0,96.9,1,100.0,10.31,8.9,,,,,29.16,20.62,16.86,16.67,,83.3,A,Moderate,2021-11-19,1758,Verified - components used: outcome+market+experience+pathway (FDA decisions + prices only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (6 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (1 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 6 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 96.9% (raw 100.0%, Wilson95 LB 61.0%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.87 of the component | Market: 1 priced events, 100% positive at T+1, median T+1 +8.90% -> 0.74 | Experience: 6 tracked decisions -> 0.76 (saturates at 12) | Pathway: 4/4 approvals Priority Review (100%), 0 accelerated (0%) -> 1.00 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, market=25, experience=20, pathway=15."
Alexion Pharmaceuticals (acquired by AstraZeneca 2021),ALXN,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),4,4,0,0,2,0,0,2,100.0,51.0,96.0,0,,,,,,,,38.72,,19.31,23.08,,81.1,A,Moderate,2018-12-21,2822,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (4 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 4 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 96.0% (raw 100.0%, Wilson95 LB 51.0%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.84 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 4 tracked decisions -> 0.63 (saturates at 12) | Pathway: 2/2 approvals Priority Review (100%), 0 accelerated (0%) -> 1.00 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
Genzyme (acquired by Sanofi 2011),GENZ,,FORMERLY US-LISTED (DELISTED/ACQUIRED),4,4,0,0,4,0,0,4,100.0,51.0,96.0,0,,,,,,,,38.72,,19.31,23.08,,81.1,A,Moderate,2010-05-24,5955,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (4 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 4 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 96.0% (raw 100.0%, Wilson95 LB 51.0%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.84 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 4 tracked decisions -> 0.63 (saturates at 12) | Pathway: 4/4 approvals Priority Review (100%), 0 accelerated (0%) -> 1.00 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
Shire plc (acquired by Takeda 2019),SHPG,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),6,6,0,0,3,0,1,4,100.0,61.0,96.9,0,,,,,,,,40.37,,23.34,17.31,,81.0,A,Moderate,2018-08-23,2942,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (6 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 6 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 96.9% (raw 100.0%, Wilson95 LB 61.0%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.87 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 6 tracked decisions -> 0.76 (saturates at 12) | Pathway: 3/4 approvals Priority Review (75%), 0 accelerated (0%) -> 0.75 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
Vertex Pharmaceuticals Incorporated,VRTX,NASDAQ,US-LISTED,7,7,0,0,5,0,1,6,100.0,64.6,97.2,2,100.0,1.71,6.49,,,,,29.57,19.55,18.02,13.89,,81.0,A,Moderate,2025-01-30,590,Verified - components used: outcome+market+experience+pathway (FDA decisions + prices only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (7 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (2 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 7 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 97.2% (raw 100.0%, Wilson95 LB 64.6%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.89 of the component | Market: 2 priced events, 100% positive at T+1, median T+1 +6.49% -> 0.70 | Experience: 7 tracked decisions -> 0.81 (saturates at 12) | Pathway: 5/6 approvals Priority Review (83%), 0 accelerated (0%) -> 0.83 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, market=25, experience=20, pathway=15."
Wyeth (acquired by Pfizer 2009),WYE,,FORMERLY US-LISTED (DELISTED/ACQUIRED),7,7,0,0,4,0,3,7,100.0,64.6,97.2,0,,,,,,,,40.95,,24.95,13.19,,79.1,B,Moderate,2008-02-29,6770,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (7 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 7 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 97.2% (raw 100.0%, Wilson95 LB 64.6%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.89 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 7 tracked decisions -> 0.81 (saturates at 12) | Pathway: 4/7 approvals Priority Review (57%), 0 accelerated (0%) -> 0.57 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
Novartis AG,NVS,NYSE (ADR),US-LISTED (ADR),39,38,1,0,19,3,11,30,97.4,86.8,96.9,7,100.0,1.71,1.42,,,,,29.26,17.3,22.22,9.9,,78.7,B,Moderate,2025-09-30,347,Verified - components used: outcome+market+experience+pathway (FDA decisions + prices only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (38 approval rows), data/fda_crl_master.csv (1 CRL rows), data/stock_price_snapshots.csv (7 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 38 approvals / 1 CRLs / 0 withdrawals flagged -> shrunk rate 96.9% (raw 97.4%, Wilson95 LB 86.8%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.88 of the component | Market: 7 priced events, 100% positive at T+1, median T+1 +1.42% -> 0.62 | Experience: 39 tracked decisions -> 1.00 (saturates at 12) | Pathway: 19/30 approvals Priority Review (63%), 3 accelerated (8%) -> 0.59 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, market=25, experience=20, pathway=15."
Boehringer Ingelheim,,N/A - privately held,PRIVATE / NO EQUITY,8,8,0,0,3,0,4,7,100.0,67.6,97.4,0,,,,,,,,41.42,,26.36,9.89,,77.7,B,Moderate,2025-10-07,340,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (8 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (none)","Outcome: 8 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 97.4% (raw 100.0%, Wilson95 LB 67.6%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.90 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 8 tracked decisions -> 0.86 (saturates at 12) | Pathway: 3/7 approvals Priority Review (43%), 0 accelerated (0%) -> 0.43 | Pipeline: no pipeline scorecard on file | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
Cubist Pharmaceuticals (acquired by Merck 2015),CBST,NASDAQ (delisted Jan 2015),US-LISTED,3,3,0,0,3,0,0,3,100.0,43.8,95.3,0,,,,,,,,37.48,,16.63,23.08,,77.2,B,Moderate,2014-12-19,4285,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (3 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 3 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 95.3% (raw 100.0%, Wilson95 LB 43.8%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.81 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 3 tracked decisions -> 0.54 (saturates at 12) | Pathway: 3/3 approvals Priority Review (100%), 0 accelerated (0%) -> 1.00 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
Seagen Inc. (acquired by Pfizer),SGEN,"formerly NASDAQ:SGEN, delisted Dec 2023",FORMERLY US-LISTED (DELISTED/ACQUIRED),3,3,0,0,1,0,0,1,100.0,43.8,95.3,0,,,,,,,,37.48,,16.63,23.08,,77.2,B,Moderate,2021-09-20,1818,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (3 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 3 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 95.3% (raw 100.0%, Wilson95 LB 43.8%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.81 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 3 tracked decisions -> 0.54 (saturates at 12) | Pathway: 1/1 approvals Priority Review (100%), 0 accelerated (0%) -> 1.00 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
