company_name,ticker,exchange,us_investable_class,total_drugs_in_profile,approved_drugs,phase3_programs,phase2_programs,phase1_programs,preclinical_programs,paused_or_hold,advanced_to_next_phase,clinical_progression_rate_pct,fda_approval_rate_pct,total_fda_decisions_tracked,novel_nme_approvals,original_non_nme_approvals,label_expansions,crl_rejections,composite_score_0_100,success_grade,success_rate_pct,source_url_1,source_url_2,verification_status,notes
Genzyme (acquired by Sanofi 2011),GENZ,"formerly NASDAQ:GENZ, delisted Apr-2011 into Sanofi",FORMERLY US-LISTED (DELISTED/ACQUIRED),4,8,0,,,,0,0,,100.0,8,8,0,0,0,86.5,A,100.0,https://web.archive.org/web/20110614054533if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/UCM242677.pdf,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 8 FDA decisions tracked, 8 approvals. Pipeline: 4 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Shire plc (acquired by Takeda 2019),SHPG,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),6,6,0,,,,0,0,,100.0,6,6,0,2,0,82.9,A,100.0,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761090,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 6 FDA decisions tracked, 6 approvals. Pipeline: 6 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Alexion Pharmaceuticals (acquired by AstraZeneca 2021),ALXN,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),4,4,6,,,,0,0,,100.0,4,4,0,13,0,81.1,A,100.0,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761108,https://clinicaltrials.gov/study/NCT06724809,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 4 FDA decisions tracked, 4 approvals. Pipeline: 4 total, N/A approved, 6 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Vertex Pharmaceuticals Incorporated,VRTX,NASDAQ,US-LISTED,18,12,4,,,0,1,9,90.0,100.0,7,7,3,34,0,79.6,B,66.66666666666666,https://www.vrtx.com/pipeline,https://web.archive.org/web/20190207172014/http://wayback.archive-it.org/7993/20170112022004/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm285489.htm,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 10 FDA decisions tracked, 10 approvals. Pipeline: 18 total, 12 approved, 4 Phase3, 1 paused/hold, 9 advanced. Success rate 66.66666666666666%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Genentech (acquired by Roche 2009),DNA,,FORMERLY US-LISTED (DELISTED/ACQUIRED),5,8,0,,,,0,0,,100.0,8,8,0,0,0,79.3,B,100.0,https://web.archive.org/web/20130217050942/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm336115.htm,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 8 FDA decisions tracked, 8 approvals. Pipeline: 5 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Schering-Plough (acquired by Merck 2009),SGP,,FORMERLY US-LISTED (DELISTED/ACQUIRED),3,10,0,,,,0,0,,100.0,10,10,0,0,0,79.0,B,100.0,https://web.archive.org/web/20090709174614/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081673.htm,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 10 FDA decisions tracked, 10 approvals. Pipeline: 3 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Cubist Pharmaceuticals (acquired by Merck 2015),CBST,NASDAQ (delisted Jan 2015),US-LISTED,3,5,0,,,,0,0,,100.0,3,3,2,17,0,77.2,B,100.0,https://web.archive.org/web/20190207172014/https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm429249.htm,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 5 FDA decisions tracked, 5 approvals. Pipeline: 3 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Orphan Medical (acquired by Jazz 2005),ORPH,NASDAQ,US-LISTED,1,4,0,,,,0,0,,100.0,4,4,0,0,0,75.3,B,100.0,https://web.archive.org/web/20090709174607/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081683.htm,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 4 FDA decisions tracked, 4 approvals. Pipeline: 1 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Pharmacia (acquired by Pfizer 2003),PGE?,,FORMERLY US-LISTED (DELISTED/ACQUIRED),5,5,0,,,,0,0,,100.0,5,5,0,0,0,75.0,B,100.0,https://web.archive.org/web/20090709174608/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081680.htm,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 5 FDA decisions tracked, 5 approvals. Pipeline: 5 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
TAP Pharmaceutical Products (Takeda/Abbott JV),4502,TSE,NON-US LISTING ONLY,5,9,0,,,,0,0,,100.0,9,9,0,0,0,74.6,B,100.0,https://web.archive.org/web/20140327204457/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm381263.htm,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 9 FDA decisions tracked, 9 approvals. Pipeline: 5 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
