file,role,records,bytes,sha256
data/raw/probe/crl_page1.json,"FDA openFDA Complete Response Letter transparency dataset, captured verbatim (458 records)",1,5266330,5733d38e2978c254dca7f5f89d07a83c155a4df393177bf99c8e5f7369b907d9
data/raw/openfda_approvals_2000_2010/2000.json,"Applications with an ORIG/AP action in this year, including Drugs@FDA's full submissions array as published today",2746,13496040,75404d8fb5ccface851e2547e104dde5ced2de2fc0b46cd46d051ece7a851947
data/raw/openfda_approvals_2000_2010/2001.json,"Applications with an ORIG/AP action in this year, including Drugs@FDA's full submissions array as published today",2861,13787662,38d14180f1e85614be962334f21828937e2b06ac1f8767248f8d0e3a8ba9b7e2
data/raw/openfda_approvals_2000_2010/2002.json,"Applications with an ORIG/AP action in this year, including Drugs@FDA's full submissions array as published today",2954,14419284,ea96ed87c8c5e18ddc0019482baa4329e31645462bdce784cddc72a17cad964c
data/raw/openfda_approvals_2000_2010/2003.json,"Applications with an ORIG/AP action in this year, including Drugs@FDA's full submissions array as published today",1462,7511325,fb474ba4d43c015210313dcb734031caacd7c62874bf4dd191c80a2d71b66078
data/raw/openfda_approvals_2000_2010/2004.json,"Applications with an ORIG/AP action in this year, including Drugs@FDA's full submissions array as published today",1649,7913246,40b9914a75a1c3b158fcf14857d43f8debd05485d04a32540517acf12c32bc4e
data/raw/openfda_approvals_2000_2010/2005.json,"Applications with an ORIG/AP action in this year, including Drugs@FDA's full submissions array as published today",1495,7212926,adf69998d391547cf2413c2f2ff6594abb627b06464a0187a564a7e20a51592e
data/raw/openfda_approvals_2000_2010/2006.json,"Applications with an ORIG/AP action in this year, including Drugs@FDA's full submissions array as published today",1500,6878596,f6a1a9e0805e3a39af3ba874d4f93839bedb3f6e4806fea91c1eec239b717ed4
data/raw/openfda_approvals_2000_2010/2007.json,"Applications with an ORIG/AP action in this year, including Drugs@FDA's full submissions array as published today",1977,8606999,a50391e335ff8f464100c0c0711b2a708c6cdbf0813dfafe0bd0c8c487ece5dc
data/raw/openfda_approvals_2000_2010/2008.json,"Applications with an ORIG/AP action in this year, including Drugs@FDA's full submissions array as published today",2015,8468146,a632ae9025eaa6416f87581ef621ec6d7cef78862963426062d61716e0d0d6d4
data/raw/openfda_approvals_2000_2010/2009.json,"Applications with an ORIG/AP action in this year, including Drugs@FDA's full submissions array as published today",2015,8785933,ae059a024955e2e517fadff493de6313ae39e4509a354a3def20d2d138fddee7
data/raw/openfda_approvals_2000_2010/2010.json,"Applications with an ORIG/AP action in this year, including Drugs@FDA's full submissions array as published today",2114,8672499,c8e260a9f05692df60937e4fae92258e02c878d96b5cbc52fa84817d287f3ba8
data/raw/openfda_orig_decisions_2011_2026/decisions_*.json,ORIG/AP approval actions by application (1985-2026 block; 2011-2026 is the primary coverage here),4229,5569469,367a1d90eff57e495c7520c61531d1fc756f0029de92050134cd0bd35aaec648|e4633b5539d49d04f7e61c830eb5c537f76d6dce8a2268c5a2f7f8e84ef1f78a|846f0cfd4bd6df2dbbbed90170ca9e2aad2897cc0be9ade13d671478a50bcfd9|...(42 files)
data/raw/openfda_efficacy_supplements/suppl_*.json,Approved efficacy supplements by application (2000-2026),4482,4662340,22d4d854dd54f602cfb67f3448ba8d6fa737a5ec2f2ab167bae29783461d8737|0bc68f639bfa7e221db288bf31d6da5f45373c17269ddaccd92b2c1a22599fa1|a863f7f8540f99e28734ac8b8462af55a5b6028c15956ec0b0a1189de4790356|...(27 files)
data/fda_crl_master.csv,Published CRL master (join target; read-only),458,308621,e3fba1cd815739e541f1a119c79adf83908faaebb20e86404c76c807e70e4faa
