letter_year,cohort_maturity,published_crl_letters,fda_field_approved_letters,fda_field_approved_pct,letters_with_later_original_action_observed,observed_later_original_action_pct,observed_original_pct_wilson_lower_95,letters_with_any_later_action_observed,observed_any_action_pct,median_days_to_first_later_original_action,conflict_rows,coverage_note
2002,ALL_LETTERS_IN_YEAR,1,1,100.0,1,100.0,20.7,1,100.0,7861,0,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2004,ALL_LETTERS_IN_YEAR,1,1,100.0,1,100.0,20.7,1,100.0,7030,0,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2007,ALL_LETTERS_IN_YEAR,1,1,100.0,1,100.0,20.7,1,100.0,5803,0,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2008,ALL_LETTERS_IN_YEAR,1,1,100.0,1,100.0,20.7,1,100.0,4201,0,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2009,ALL_LETTERS_IN_YEAR,2,2,100.0,2,100.0,34.2,2,100.0,4697,0,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2010,ALL_LETTERS_IN_YEAR,2,2,100.0,2,100.0,34.2,2,100.0,2982,0,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2011,ALL_LETTERS_IN_YEAR,2,2,100.0,2,100.0,34.2,2,100.0,3348,0,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2012,ALL_LETTERS_IN_YEAR,4,4,100.0,4,100.0,51.0,4,100.0,722,0,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2013,ALL_LETTERS_IN_YEAR,12,12,100.0,11,91.7,64.6,11,91.7,2179,1,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2014,ALL_LETTERS_IN_YEAR,8,8,100.0,8,100.0,67.6,8,100.0,1824,0,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
