company_name,ticker,drug_name,recent_clinical_trial_result,fda_decision,fda_decision_date,fda_decision_type,stock_pricing_before,stock_pricing_after,pct_change_on_decision,stock_price_t1,pct_change_t1,stock_pricing_summary,company_success_rate_summary,company_score,company_score_grade,company_success_rate_pct,total_drugs_in_profile,approved_drugs,phase3_programs,paused_or_hold,advanced_to_next_phase,review_pathway,indication,fda_source_url,secondary_source_url,verification_status,us_investable_class,notes
Scholar Rock Holding Corporation,SRRK,Isembyld (apitegromab-mstn),Apitegromab (Isembyld) Spinal muscular atrophy SMA Phase BLA resubmission approved Sep 11 2026 endpoint Motor function expected 2026-09-11 approved status Approved Sep 11 2026 early vs PDUFA Sep 30,Approval on 2026-09-11 for Isembyld (apitegromab-mstn) (Spinal muscular atrophy in adults and pediatric patients 2+ on an SMN2-targeted ) - Pathway: Not stated,2026-09-11,Approval,55.66999816894531,55.40999984741211,-0.47,51.849998474121094,-6.86,Before: 55.66999816894531 on 2026-09-10 -> After: 55.40999984741211 on 2026-09-11 (-0.47%); T+1: 51.849998474121094 (-6.86%),"Score: 22.1 Grade: E Success Rate: 20.0% - Profile: 5 total, 1 approved, 1 Phase3, 0 paused, 2 advanced",22.1,E,20.0,5,1,1,0,2,,Spinal muscular atrophy in adults and pediatric patients 2+ on an SMN2-targeted treatment,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,Verified - sponsor not yet in openFDA,US-LISTED,"Decision engine analysis row: Scholar Rock Holding Corporation Isembyld (apitegromab-mstn) Approval 2026-09-11. Trial result: Apitegromab (Isembyld) Spinal muscular atrophy SMA Phase BLA resubmission approved Sep 11 2026 endpo. Stock: Before: 55.66999816894531 on 2026-09-10 -> After: 55.40999984741211 on 2026-09-11 (-0.47%); T+1: 51.. Score: Score: 22.1 Grade: E Success Rate: 20.0% - Profile: 5 total, 1 approved, 1 Phase3, 0 paused, 2 advan. Sources: https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026 + https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026"
Telix Pharmaceuticals Limited,TLX,Pixclara (floretyrosine F 18),"PET imaging to differentiate recurrent or progressive glioma from treatment-related change, in conjunction with other diagnostic evaluations",Approval on 2026-09-11 for Pixclara (floretyrosine F 18) (PET imaging to differentiate recurrent or progressive glioma from treatment-rela) - Pathway: Priority; Orphan,2026-09-11,Approval,11.899999618530273,11.289999961853027,-5.13,11.779999732971191,-1.01,Before: 11.899999618530273 on 2026-09-10 -> After: 11.289999961853027 on 2026-09-11 (-5.13%); T+1: 11.779999732971191 (-1.01%),"Score: 34.2 Grade: E Success Rate: 33.3% - Profile: 3 total, 3 approved, 0 Phase3, 0 paused, 0 advanced",34.2,E,33.3,3,3,0,,,Priority; Orphan,"PET imaging to differentiate recurrent or progressive glioma from treatment-related change, in conjunction with other diagnostic evaluations",https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=218592,Verified,US-LISTED (ADR),"Decision engine analysis row: Telix Pharmaceuticals Limited Pixclara (floretyrosine F 18) Approval 2026-09-11. Trial result: PET imaging to differentiate recurrent or progressive glioma from treatment-related change, in conju. Stock: Before: 11.899999618530273 on 2026-09-10 -> After: 11.289999961853027 on 2026-09-11 (-5.13%); T+1: 1. Score: Score: 34.2 Grade: E Success Rate: 33.3% - Profile: 3 total, 3 approved, 0 Phase3, 0 paused, 0 advan. Sources: https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026 + https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=218592"
SCHOLAR ROCK INC,,BLA761463,BLA761463 - Approval (Type 1 - New Molecular Entity; v24 openFDA backfill),Approval (Type 1 - New Molecular Entity; v24 openFDA backfill) on 2026-09-11 for BLA761463 (No indication text - blank beats guessed) - Pathway: PRIORITY,2026-09-11,Approval (Type 1 - New Molecular Entity; v24 openFDA backfill),,,,,,Before: N/A on N/A -> After: N/A on 2026-09-11 (N/A%); T+1: N/A (N/A%),"Score: N/A Grade: N/A Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 advanced",,,,,,,,,PRIORITY,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761463,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""BLA761463""",Verified - openFDA Drugs@FDA ORIG/AP record (v24 backfill),,"Decision engine analysis row: SCHOLAR ROCK INC BLA761463 Approval (Type 1 - New Molecular Entity; v24 openFDA backfill) 2026-09-11. Trial result: BLA761463 - Approval (Type 1 - New Molecular Entity; v24 openFDA backfill). Stock: Before: N/A on N/A -> After: N/A on 2026-09-11 (N/A%); T+1: N/A (N/A%). Score: Score: N/A Grade: N/A Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 a. Sources: https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761463 + https://api.fda.gov/drug/drugsfda.json?search=application_number:""BLA761463"""
AstraZeneca plc,AZN,Etcamah (camizestrant),HR+/HER2- locally advanced or metastatic breast cancer upon detection of ESR1 mutation during AI + CDK4/6 therapy,Approval on 2026-09-04 for Etcamah (camizestrant) (HR+/HER2- locally advanced or metastatic breast cancer upon detection of ESR1 mu) - Pathway: Not stated,2026-09-04,Approval,164.77000427246094,162.6999969482422,-1.26,160.0399932861328,-2.87,Before: 164.77000427246094 on 2026-09-03 -> After: 162.6999969482422 on 2026-09-04 (-1.26%); T+1: 160.0399932861328 (-2.87%),"Score: 62.1 Grade: C Success Rate: 68.18181818181817% - Profile: 44 total, 30 approved, 24 Phase3, 3 paused, 22 advanced",62.1,C,68.18181818181817,44,30,24,3,22,,HR+/HER2- locally advanced or metastatic breast cancer upon detection of ESR1 mutation during AI + CDK4/6 therapy,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220359,Verified,US-LISTED (ADR),"Decision engine analysis row: AstraZeneca plc Etcamah (camizestrant) Approval 2026-09-04. Trial result: HR+/HER2- locally advanced or metastatic breast cancer upon detection of ESR1 mutation during AI + C. Stock: Before: 164.77000427246094 on 2026-09-03 -> After: 162.6999969482422 on 2026-09-04 (-1.26%); T+1: 16. Score: Score: 62.1 Grade: C Success Rate: 68.18181818181817% - Profile: 44 total, 30 approved, 24 Phase3, 3. Sources: https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026 + https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220359"
"Ionis Pharmaceuticals, Inc.",IONS,Zanvastro (zilganersen),Alexander disease in pediatric and adult patients,Approval on 2026-09-03 for Zanvastro (zilganersen) (Alexander disease in pediatric and adult patients) - Pathway: Not stated,2026-09-03,Approval,61.33000183105469,58.130001068115234,-5.22,58.09000015258789,-5.28,Before: 61.33000183105469 on 2026-09-02 -> After: 58.130001068115234 on 2026-09-03 (-5.22%); T+1: 58.09000015258789 (-5.28%),"Score: 58.8 Grade: C Success Rate: 17.857142857142858% - Profile: 28 total, 5 approved, 2 Phase3, 1 paused, 7 advanced",58.8,C,17.857142857142858,28,5,2,1,7,,Alexander disease in pediatric and adult patients,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220210,Verified,US-LISTED,"Decision engine analysis row: Ionis Pharmaceuticals, Inc. Zanvastro (zilganersen) Approval 2026-09-03. Trial result: Alexander disease in pediatric and adult patients. Stock: Before: 61.33000183105469 on 2026-09-02 -> After: 58.130001068115234 on 2026-09-03 (-5.22%); T+1: 58. Score: Score: 58.8 Grade: C Success Rate: 17.857142857142858% - Profile: 28 total, 5 approved, 2 Phase3, 1 . Sources: https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026 + https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220210"
Takeda Pharmaceutical Company (US rights) / Protagonist Therapeutics (originator),PTGX,Mimrylo (rusfertide),Erythrocytosis in polycythemia vera,Approval on 2026-08-28 for Mimrylo (rusfertide) (Erythrocytosis in polycythemia vera) - Pathway: Standard,2026-08-28,Approval,154.32,149.5,-3.12,,,Before: 154.32 on 2026-08-19 -> After: 149.5 on 2026-08-28 (-3.12%); T+1: N/A (N/A%),"Score: 29.9 Grade: E Success Rate: 100.0% - Profile: 1 total, 1 approved, 1 Phase3, 0 paused, 0 advanced",29.9,E,100.0,1,1,1,0,0,Standard,Erythrocytosis in polycythemia vera,https://www.takeda.com/newsroom/newsreleases/2026/fda-approval-mimrylo/,https://www.accessnewswire.com/newsroom/en/healthcare-and-pharmaceutical/protagonist-therapeutics-announces-u.s.-fda-approval-of-hepcidin-mime-1214342,Verified,US-LISTED,"Decision engine analysis row: Takeda Pharmaceutical Company (US rights) / Protagonist Therapeutics (originator) Mimrylo (rusfertide) Approval 2026-08-28. Trial result: Erythrocytosis in polycythemia vera. Stock: Before: 154.32 on 2026-08-19 -> After: 149.5 on 2026-08-28 (-3.12%); T+1: N/A (N/A%). Score: Score: 29.9 Grade: E Success Rate: 100.0% - Profile: 1 total, 1 approved, 1 Phase3, 0 paused, 0 adva. Sources: https://www.takeda.com/newsroom/newsreleases/2026/fda-approval-mimrylo/ + https://www.accessnewswire.com/newsroom/en/healthcare-and-pharmaceutical/protagonist-therapeutics-announces-u.s.-fda-approval-of-hepcidin-mime-1214342"
Roivant Sciences / Priovant Therapeutics (subsidiary),ROIV,Lisraya (brepocitinib),Dermatomyositis (adults),Approval on 2026-08-27 for Lisraya (brepocitinib) (Dermatomyositis (adults)) - Pathway: Priority,2026-08-27,Approval,36.84,36.75,-0.24,,,Before: 36.84 on 2026-08-19 -> After: 36.75 on 2026-08-27 (-0.24%); T+1: N/A (N/A%),"Score: 54.5 Grade: C Success Rate: 100.0% - Profile: 2 total, 2 approved, 0 Phase3, 0 paused, 0 advanced",54.5,C,100.0,2,2,0,0,0,Priority,Dermatomyositis (adults),https://allsci.com/news/approvals/lisraya-dermatomyositis-fda-approval-approves-as/,https://www.healio.com/news/dermatology/20260828/fda-approves-lisraya-as-first-oral-drug-for-dermatomyositis,Verified,US-LISTED,"Decision engine analysis row: Roivant Sciences / Priovant Therapeutics (subsidiary) Lisraya (brepocitinib) Approval 2026-08-27. Trial result: Dermatomyositis (adults). Stock: Before: 36.84 on 2026-08-19 -> After: 36.75 on 2026-08-27 (-0.24%); T+1: N/A (N/A%). Score: Score: 54.5 Grade: C Success Rate: 100.0% - Profile: 2 total, 2 approved, 0 Phase3, 0 paused, 0 adva. Sources: https://allsci.com/news/approvals/lisraya-dermatomyositis-fda-approval-approves-as/ + https://www.healio.com/news/dermatology/20260828/fda-approves-lisraya-as-first-oral-drug-for-dermatomyositis"
Revolution Medicines,RVMD,Rasonque (daraxonrasib),Metastatic pancreatic adenocarcinoma,Approval on 2026-08-26 for Rasonque (daraxonrasib) (Metastatic pancreatic adenocarcinoma) - Pathway: Standard,2026-08-26,Approval,214.66,211.38,-1.53,,,Before: 214.66 on 2026-08-19 -> After: 211.38 on 2026-08-26 (-1.53%); T+1: N/A (N/A%),"Score: 29.9 Grade: E Success Rate: 100.0% - Profile: 1 total, 1 approved, 1 Phase3, 0 paused, 0 advanced",29.9,E,100.0,1,1,1,0,0,Standard,Metastatic pancreatic adenocarcinoma,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-daraxonrasib-metastatic-pancreatic-adenocarcinoma,https://www.globenewswire.com/news-release/2026/08/26/3351615/0/en/u-s-fda-approves-revolution-medicines-rasonque-daraxonrasib-the-first-broad-ras-targeted-medicine-in-metastatic-pancreatic-cancer.html,Verified,US-LISTED,"Decision engine analysis row: Revolution Medicines Rasonque (daraxonrasib) Approval 2026-08-26. Trial result: Metastatic pancreatic adenocarcinoma. Stock: Before: 214.66 on 2026-08-19 -> After: 211.38 on 2026-08-26 (-1.53%); T+1: N/A (N/A%). Score: Score: 29.9 Grade: E Success Rate: 100.0% - Profile: 1 total, 1 approved, 1 Phase3, 0 paused, 0 adva. Sources: https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-daraxonrasib-metastatic-pancreatic-adenocarcinoma + https://www.globenewswire.com/news-release/2026/08/26/3351615/0/en/u-s-fda-approves-revolution-medicines-rasonque-daraxonrasib-the-first-broad-ras-targeted-medicine-in-metastatic-pancreatic-cancer.html"
"Regeneron Pharmaceuticals, Inc.",REGN,Pasatru (garetosmab-grts),Reduce new heterotopic ossification and clinician-assessed flare-ups in adults with FOP,Approval on 2026-08-19 for Pasatru (garetosmab-grts) (Reduce new heterotopic ossification and clinician-assessed flare-ups in adults w) - Pathway: Not stated,2026-08-19,Approval,810.239990234375,840.8400268554688,3.78,826.6400146484375,2.02,Before: 810.239990234375 on 2026-08-18 -> After: 840.8400268554688 on 2026-08-19 (3.78%); T+1: 826.6400146484375 (2.02%),"Score: 43.5 Grade: D Success Rate: 63.63636363636363% - Profile: 22 total, 14 approved, 4 Phase3, 2 paused, 10 advanced",43.5,D,63.63636363636363,22,14,4,2,10,,Reduce new heterotopic ossification and clinician-assessed flare-ups in adults with FOP,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761508,Verified,US-LISTED,"Decision engine analysis row: Regeneron Pharmaceuticals, Inc. Pasatru (garetosmab-grts) Approval 2026-08-19. Trial result: Reduce new heterotopic ossification and clinician-assessed flare-ups in adults with FOP. Stock: Before: 810.239990234375 on 2026-08-18 -> After: 840.8400268554688 on 2026-08-19 (3.78%); T+1: 826.6. Score: Score: 43.5 Grade: D Success Rate: 63.63636363636363% - Profile: 22 total, 14 approved, 4 Phase3, 2 . Sources: https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026 + https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761508"
Bristol Myers Squibb Company,BMY,Zenbexus (iberdomide),Multiple myeloma (with daratumumab/hyaluronidase-fihj + dexamethasone) after >=1 prior line,Approval on 2026-08-13 for Zenbexus (iberdomide) (Multiple myeloma (with daratumumab/hyaluronidase-fihj + dexamethasone) after >=1) - Pathway: Not stated,2026-08-13,Approval,63.70000076293945,64.6500015258789,1.49,63.83000183105469,0.20,Before: 63.70000076293945 on 2026-08-12 -> After: 64.6500015258789 on 2026-08-13 (1.49%); T+1: 63.83000183105469 (0.20%),"Score: 66.2 Grade: B Success Rate: 61.904761904761905% - Profile: 42 total, 26 approved, 8 Phase3, 4 paused, 19 advanced",66.2,B,61.904761904761905,42,26,8,4,19,,Multiple myeloma (with daratumumab/hyaluronidase-fihj + dexamethasone) after >=1 prior line,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=221075,Verified,US-LISTED,"Decision engine analysis row: Bristol Myers Squibb Company Zenbexus (iberdomide) Approval 2026-08-13. Trial result: Multiple myeloma (with daratumumab/hyaluronidase-fihj + dexamethasone) after >=1 prior line. Stock: Before: 63.70000076293945 on 2026-08-12 -> After: 64.6500015258789 on 2026-08-13 (1.49%); T+1: 63.83. Score: Score: 66.2 Grade: B Success Rate: 61.904761904761905% - Profile: 42 total, 26 approved, 8 Phase3, 4. Sources: https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026 + https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=221075"
