year,openfda_orig_ap_count,v27_selected_count,type1_count,type1_4_count,type2_count,type3_count,type4_count,type5_count,priority_count,standard_count,unknown_priority_count,official_source_url,payload_file,verification_status,notes
2000,105,38,25,3,1,52,8,3,20,84,1,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20000101+TO+20001231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,Verified - payload counts match committed files,"Year 2000: openFDA ORIG/AP 105 total, V27 selected 38 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2001,73,37,26,2,2,24,8,7,13,60,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20010101+TO+20011231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2001.json,Verified - payload counts match committed files,"Year 2001: openFDA ORIG/AP 73 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2002,92,37,23,0,1,44,6,7,14,76,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20020101+TO+20021231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2002.json,Verified - payload counts match committed files,"Year 2002: openFDA ORIG/AP 92 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2003,82,37,24,0,5,35,8,2,18,64,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20030101+TO+20031231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2003.json,Verified - payload counts match committed files,"Year 2003: openFDA ORIG/AP 82 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2004,120,37,36,0,1,54,6,9,27,92,1,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20040101+TO+20041231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2004.json,Verified - payload counts match committed files,"Year 2004: openFDA ORIG/AP 120 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2005,83,37,19,1,1,37,9,10,23,59,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20050101+TO+20051231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2005.json,Verified - payload counts match committed files,"Year 2005: openFDA ORIG/AP 83 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2006,103,37,20,2,2,41,10,14,18,83,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20060101+TO+20061231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2006.json,Verified - payload counts match committed files,"Year 2006: openFDA ORIG/AP 103 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2007,78,37,18,0,2,28,4,14,15,61,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20070101+TO+20071231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2007.json,Verified - payload counts match committed files,"Year 2007: openFDA ORIG/AP 78 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2008,87,37,25,0,3,30,4,14,15,71,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20080101+TO+20081231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,Verified - payload counts match committed files,"Year 2008: openFDA ORIG/AP 87 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2009,90,37,26,0,2,36,5,10,18,69,1,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20090101+TO+20091231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2009.json,Verified - payload counts match committed files,"Year 2009: openFDA ORIG/AP 90 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2010,85,37,20,1,0,29,13,15,16,69,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20100101+TO+20101231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2010.json,Verified - payload counts match committed files,"Year 2010: openFDA ORIG/AP 85 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2011,84,37,27,2,0,21,7,20,22,61,1,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20110101+TO+20111231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2011.json,Verified - payload counts match committed files,"Year 2011: openFDA ORIG/AP 84 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2012,89,37,37,1,1,25,4,14,21,68,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20120101+TO+20121231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2012.json,Verified - payload counts match committed files,"Year 2012: openFDA ORIG/AP 89 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2013,152,37,25,2,3,27,4,24,17,135,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20130101+TO+20131231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2013.json,Verified - payload counts match committed files,"Year 2013: openFDA ORIG/AP 152 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2014,111,37,37,4,1,18,9,25,34,73,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20140101+TO+20141231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2014.json,Verified - payload counts match committed files,"Year 2014: openFDA ORIG/AP 111 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2015,117,37,40,4,0,24,12,28,36,80,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20150101+TO+20151231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2015.json,Verified - payload counts match committed files,"Year 2015: openFDA ORIG/AP 117 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2016,100,37,20,2,1,26,11,27,24,74,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20160101+TO+20161231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2016.json,Verified - payload counts match committed files,"Year 2016: openFDA ORIG/AP 100 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
