year,official_nmes_approved,official_ndas_approved,project_pre1985_rows,project_master_rows,project_novel_rows,project_type1_rows,nme_comparable_rows,pre1985_non_nme_boundary_rows,compilation_rows,delta_project_vs_official,delta_nme_comparable_vs_official,delta_compilation_vs_official,verdict,evidence_note,project_source_tables,source_urls
1980,12,114,9,0,9,9,9,0,,-3,-3,,PROJECT_SHORT_FLAGGED,"FDA's official NME count exceeds the project's NME-comparable rows by 3 - a sized, flagged coverage gap. See pre1985_nme_gap_analysis.csv for the pre-1985 years and the 1988/2013 notes below.",pre1985_fda_decisions.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
1981,27,96,23,0,23,23,23,0,,-4,-4,,PROJECT_SHORT_FLAGGED,"FDA's official NME count exceeds the project's NME-comparable rows by 4 - a sized, flagged coverage gap. See pre1985_nme_gap_analysis.csv for the pre-1985 years and the 1988/2013 notes below.",pre1985_fda_decisions.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
1982,28,116,25,0,25,25,25,0,,-3,-3,,PROJECT_SHORT_FLAGGED,"FDA's official NME count exceeds the project's NME-comparable rows by 3 - a sized, flagged coverage gap. See pre1985_nme_gap_analysis.csv for the pre-1985 years and the 1988/2013 notes below.",pre1985_fda_decisions.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
1983,14,94,14,0,14,13,13,1,,0,-1,,PROJECT_SHORT_FLAGGED,"FDA's official NME count exceeds the project's NME-comparable rows by 1 - a sized, flagged coverage gap. See pre1985_nme_gap_analysis.csv for the pre-1985 years and the 1988/2013 notes below. The 1983 group reaches 14 rows only because it includes the furosemide non-NME boundary row (NDA018413, a molecule first approved in 1968); on a like-for-like NME basis the year is short by 1.",pre1985_fda_decisions.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
1984,22,142,20,0,20,19,19,1,,-2,-3,,PROJECT_SHORT_FLAGGED,"FDA's official NME count exceeds the project's NME-comparable rows by 3 - a sized, flagged coverage gap. See pre1985_nme_gap_analysis.csv for the pre-1985 years and the 1988/2013 notes below.",pre1985_fda_decisions.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
1985,30,100,0,31,31,27,31,,31,1,1,1,PROJECT_EXCEEDS_OFFICIAL,"NME-comparable project rows exceed the official NME count by 1. official NME column excludes biologics before the 2004 CDER transfer; the Compilation (the project's 1985-1997 spine) counts Type 1/1-4 NMEs plus new biologics by design The single +1 row is the record-level difference between the Compilation (31 rows, Type 1/1-4 plus new biologics by design) and the NME statistical series (30); Protropin (recombinant somatrem, the only 1985 Compilation row that is a biological product) is the leading candidate, recorded as a candidate and not asserted (see pre1985_nme_gap_analysis.csv).",fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
1986,20,98,0,23,23,,23,,23,3,3,3,PROJECT_EXCEEDS_OFFICIAL,NME-comparable project rows exceed the official NME count by 3. official NME column excludes biologics before the 2004 CDER transfer; the Compilation (the project's 1985-1997 spine) counts Type 1/1-4 NMEs plus new biologics by design,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
1987,21,69,0,22,22,,22,,22,1,1,1,PROJECT_EXCEEDS_OFFICIAL,NME-comparable project rows exceed the official NME count by 1. official NME column excludes biologics before the 2004 CDER transfer; the Compilation (the project's 1985-1997 spine) counts Type 1/1-4 NMEs plus new biologics by design,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
1988,21,67,0,20,20,,20,,20,-1,-1,-1,PROJECT_SHORT_FLAGGED,"FDA's official NME count exceeds the project's NME-comparable rows by 1 - a sized, flagged coverage gap. See pre1985_nme_gap_analysis.csv for the pre-1985 years and the 1988/2013 notes below. SPECIFIC FINDING: the CDER Compilation itself carries 20 rows for 1988 against FDA's official NME count of 21 - the only two years in 1985-2022 where the Compilation is SHORT of the official series. The missing application(s) are not identified in either public dataset; the 1989 CDER statistical typescript (pp. 152-199) or the relevant annual report is required to name them.",fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
1989,22,87,0,27,27,,27,,27,5,5,5,PROJECT_EXCEEDS_OFFICIAL,NME-comparable project rows exceed the official NME count by 5. official NME column excludes biologics before the 2004 CDER transfer; the Compilation (the project's 1985-1997 spine) counts Type 1/1-4 NMEs plus new biologics by design,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
