orig_id,company_name,openfda_sponsor_name,ticker,exchange,us_investable_class,drug_brand,drug_generic,application_number,application_kind,decision_type,decision_date,chemical_type_code,chemical_type_description,chemical_type_group,review_priority,dosage_form,route,pharm_class_epc,source_url_1,source_url_2,source_query_url,verification_status,sponsor_resolution_basis,notes
O-NDA018254,Pfizer Inc.,HOSPIRA,PFE,NYSE,US-LISTED,DEXTROSE 5% AND RINGER'S IN PLASTIC CONTAINER,CALCIUM CHLORIDE 33MG/100ML; DEXTROSE 5GM/100ML; POTASSIUM CHLORIDE 30MG/100ML; SODIUM CHLORIDE 860MG/100ML,NDA018254,NDA,Original Approval (non-NME),1980-01-15,TYPE 5,Type 5 - New Formulation or New Manufacturer,Type 5 — New formulation or manufacturer,STANDARD,INJECTABLE,INJECTION,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018254,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA018254""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0",Verified - openFDA Drugs@FDA ORIG/AP record - Type 5 may be a new manufacturer rather than a new clinical programme,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),"PRE-1985 ROW (v16 backward extension into the 1980 era): sponsor_name is the CURRENT Drugs@FDA application holder; it is NOT asserted as the historical 1980 applicant and no period listing class is claimed. Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. Type 5 may be a new manufacturer rather than a new clinical programme"
O-NDA050533,Pfizer Inc.,PFIZER,PFE,NYSE,US-LISTED,VIBRA-TABS,DOXYCYCLINE HYCLATE EQ 100MG BASE,NDA050533,NDA,Original Approval (non-NME),1980-01-15,TYPE 3,Type 3 - New Dosage Form,Type 3 — New dosage form,STANDARD,TABLET,ORAL,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050533,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA050533""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0",Verified - openFDA Drugs@FDA ORIG/AP record,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),"PRE-1985 ROW (v16 backward extension into the 1980 era): sponsor_name is the CURRENT Drugs@FDA application holder; it is NOT asserted as the historical 1980 applicant and no period listing class is claimed. Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. "
O-NDA018234,SUN PHARM INDS INC,SUN PHARM INDS INC,UNRESOLVED,,UNRESOLVED (REVIEW),HALOG-E,HALCINONIDE 0.1%,NDA018234,NDA,Original Approval (non-NME),1980-01-24,TYPE 5,Type 5 - New Formulation or New Manufacturer,Type 5 — New formulation or manufacturer,STANDARD,CREAM,TOPICAL,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018234,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA018234""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0",Verified - openFDA Drugs@FDA ORIG/AP record - Type 5 may be a new manufacturer rather than a new clinical programme; FLAGGED: sponsor not resolved to a listed security,no sponsor_registry entry for 'sun inds',"PRE-1985 ROW (v16 backward extension into the 1980 era): sponsor_name is the CURRENT Drugs@FDA application holder; it is NOT asserted as the historical 1980 applicant and no period listing class is claimed. Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. Type 5 may be a new manufacturer rather than a new clinical programme FLAGGED: sponsor not resolved to a listed security"
O-NDA018459,XANODYNE PHARM,XANODYNE PHARM,UNRESOLVED,,UNRESOLVED (REVIEW),LEUCOVORIN CALCIUM,LEUCOVORIN CALCIUM EQ 5MG BASE,NDA018459,NDA,Original Approval (non-NME),1980-02-08,,,Class not published,,TABLET,ORAL,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018459,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA018459""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0",Verified - openFDA Drugs@FDA ORIG/AP record - FLAGGED: openFDA published no submission_class_code; FLAGGED: sponsor not resolved to a listed security,no sponsor_registry entry for 'xanodyne',"PRE-1985 ROW (v16 backward extension into the 1980 era): sponsor_name is the CURRENT Drugs@FDA application holder; it is NOT asserted as the historical 1980 applicant and no period listing class is claimed. Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. FLAGGED: openFDA published no submission_class_code FLAGGED: sponsor not resolved to a listed security"
O-NDA018233,Otsuka Holdings Co. Ltd.,OTSUKA ICU MEDCL,NO_US_TICKER,TSE,NON-US LISTING ONLY,STERILE WATER FOR INJECTION IN PLASTIC CONTAINER,WATER,NDA018233,NDA,Original Approval (non-NME),1980-02-18,TYPE 5,Type 5 - New Formulation or New Manufacturer,Type 5 — New formulation or manufacturer,STANDARD,LIQUID,INTRAVENOUS,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018233,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA018233""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0",Verified - openFDA Drugs@FDA ORIG/AP record - Type 5 may be a new manufacturer rather than a new clinical programme,sponsor_registry match: registry key 'otsuka' is contained in sponsor string 'otsuka icu medcl' (most specific consistent issuer),"PRE-1985 ROW (v16 backward extension into the 1980 era): sponsor_name is the CURRENT Drugs@FDA application holder; it is NOT asserted as the historical 1980 applicant and no period listing class is claimed. Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. Type 5 may be a new manufacturer rather than a new clinical programme"
O-NDA018313,Otsuka Holdings Co. Ltd.,OTSUKA ICU MEDCL,NO_US_TICKER,TSE,NON-US LISTING ONLY,STERILE WATER IN PLASTIC CONTAINER,WATER,NDA018313,NDA,Original Approval (non-NME),1980-02-22,TYPE 5,Type 5 - New Formulation or New Manufacturer,Type 5 — New formulation or manufacturer,STANDARD,LIQUID,IRRIGATION,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018313,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA018313""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0",Verified - openFDA Drugs@FDA ORIG/AP record - Type 5 may be a new manufacturer rather than a new clinical programme,sponsor_registry match: registry key 'otsuka' is contained in sponsor string 'otsuka icu medcl' (most specific consistent issuer),"PRE-1985 ROW (v16 backward extension into the 1980 era): sponsor_name is the CURRENT Drugs@FDA application holder; it is NOT asserted as the historical 1980 applicant and no period listing class is claimed. Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. Type 5 may be a new manufacturer rather than a new clinical programme"
O-NDA018314,Otsuka Holdings Co. Ltd.,OTSUKA ICU MEDCL,NO_US_TICKER,TSE,NON-US LISTING ONLY,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,SODIUM CHLORIDE,NDA018314,NDA,Original Approval (non-NME),1980-02-22,TYPE 5,Type 5 - New Formulation or New Manufacturer,Type 5 — New formulation or manufacturer,STANDARD,SOLUTION,IRRIGATION,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018314,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA018314""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0",Verified - openFDA Drugs@FDA ORIG/AP record - Type 5 may be a new manufacturer rather than a new clinical programme,sponsor_registry match: registry key 'otsuka' is contained in sponsor string 'otsuka icu medcl' (most specific consistent issuer),"PRE-1985 ROW (v16 backward extension into the 1980 era): sponsor_name is the CURRENT Drugs@FDA application holder; it is NOT asserted as the historical 1980 applicant and no period listing class is claimed. Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. Type 5 may be a new manufacturer rather than a new clinical programme"
O-NDA018315,Otsuka Holdings Co. Ltd.,OTSUKA ICU MEDCL,NO_US_TICKER,TSE,NON-US LISTING ONLY,GLYCINE 1.5% IN PLASTIC CONTAINER,GLYCINE,NDA018315,NDA,Original Approval (non-NME),1980-02-22,TYPE 5,Type 5 - New Formulation or New Manufacturer,Type 5 — New formulation or manufacturer,STANDARD,SOLUTION,IRRIGATION,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018315,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA018315""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0",Verified - openFDA Drugs@FDA ORIG/AP record - Type 5 may be a new manufacturer rather than a new clinical programme,sponsor_registry match: registry key 'otsuka' is contained in sponsor string 'otsuka icu medcl' (most specific consistent issuer),"PRE-1985 ROW (v16 backward extension into the 1980 era): sponsor_name is the CURRENT Drugs@FDA application holder; it is NOT asserted as the historical 1980 applicant and no period listing class is claimed. Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. Type 5 may be a new manufacturer rather than a new clinical programme"
O-NDA018316,Otsuka Holdings Co. Ltd.,OTSUKA ICU MEDCL,NO_US_TICKER,TSE,NON-US LISTING ONLY,SORBITOL-MANNITOL IN PLASTIC CONTAINER,SORBITOL AND MANNITOL,NDA018316,NDA,Original Approval (non-NME),1980-02-22,TYPE 5,Type 5 - New Formulation or New Manufacturer,Type 5 — New formulation or manufacturer,STANDARD,SOLUTION,URETHRAL,Osmotic Diuretic [EPC],https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018316,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA018316""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0",Verified - openFDA Drugs@FDA ORIG/AP record - Type 5 may be a new manufacturer rather than a new clinical programme,sponsor_registry match: registry key 'otsuka' is contained in sponsor string 'otsuka icu medcl' (most specific consistent issuer),"PRE-1985 ROW (v16 backward extension into the 1980 era): sponsor_name is the CURRENT Drugs@FDA application holder; it is NOT asserted as the historical 1980 applicant and no period listing class is claimed. Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. Type 5 may be a new manufacturer rather than a new clinical programme"
O-NDA018309,TARO,TARO,UNRESOLVED,,UNRESOLVED (REVIEW),TOPICORT LP,DESOXIMETASONE 0.05%,NDA018309,NDA,Original Approval (non-NME),1980-03-28,TYPE 3,Type 3 - New Dosage Form,Type 3 — New dosage form,STANDARD,CREAM,TOPICAL,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018309,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA018309""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0",Verified - openFDA Drugs@FDA ORIG/AP record - FLAGGED: sponsor not resolved to a listed security,no sponsor_registry entry for 'taro',"PRE-1985 ROW (v16 backward extension into the 1980 era): sponsor_name is the CURRENT Drugs@FDA application holder; it is NOT asserted as the historical 1980 applicant and no period listing class is claimed. Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. FLAGGED: sponsor not resolved to a listed security"
