supplement_id,company_name,openfda_sponsor_name,ticker,exchange,us_investable_class,drug_brand,drug_generic,application_number,submission_number,decision_type,decision_date,review_priority,submission_property_type,pharm_class_epc,route,approval_letter_url,label_url,source_url_drugsatfda,source_query_url,verification_status,sponsor_resolution_basis,notes
S2000-NDA020812-3,Haleon plc,HALEON US HOLDINGS,HLN,NYSE,US-LISTED (ADR),INFANTS ADVIL,IBUPROFEN,NDA020812,3,Efficacy Supplement Approval,2000-01-12,STANDARD,,Nonsteroidal Anti-inflammatory Drug [EPC],ORAL,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2000/020812s003lbl.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020812,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=0",Verified - FDA label document (no approval letter published),sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
S2000-NDA019898-26,Bristol-Myers Squibb Company,BRISTOL MYERS SQUIBB,BMY,NYSE,US-LISTED,PRAVACHOL,PRAVASTATIN SODIUM,NDA019898,26,Efficacy Supplement Approval,2000-01-18,STANDARD,,,,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/19898S26LTR.PDF,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019898,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=0",Verified - FDA approval letter,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
S2000-NDA019898-27,Bristol-Myers Squibb Company,BRISTOL MYERS SQUIBB,BMY,NYSE,US-LISTED,PRAVACHOL,PRAVASTATIN SODIUM,NDA019898,27,Efficacy Supplement Approval,2000-01-18,STANDARD,,,,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/19898S26LTR.PDF,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019898,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=0",Verified - FDA approval letter,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
S2000-NDA019898-29,Bristol-Myers Squibb Company,BRISTOL MYERS SQUIBB,BMY,NYSE,US-LISTED,PRAVACHOL,PRAVASTATIN SODIUM,NDA019898,29,Efficacy Supplement Approval,2000-01-18,STANDARD,,,,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/19898S26LTR.PDF,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019898,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=0",Verified - FDA approval letter,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
S2000-NDA019898-30,Bristol-Myers Squibb Company,BRISTOL MYERS SQUIBB,BMY,NYSE,US-LISTED,PRAVACHOL,PRAVASTATIN SODIUM,NDA019898,30,Efficacy Supplement Approval,2000-01-18,STANDARD,,,,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/19898S26LTR.PDF,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019898,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=0",Verified - FDA approval letter,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
S2000-NDA019941-11,Teva Pharmaceutical Industries Ltd,TEVA BRANDED PHARM,TEVA,NYSE,US-LISTED (ADR),EMLA,LIDOCAINE; PRILOCAINE,NDA019941,11,Efficacy Supplement Approval,2000-01-28,STANDARD,,,,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/19941S11LTR.PDF,http://www.accessdata.fda.gov/drugsatfda_docs/label/2000/19941S11LBL.PDF,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019941,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=0",Verified - FDA approval letter,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
S2000-NDA050740-1,Astellas Pharma Inc.,ASTELLAS,ALPMY,OTC ADR; primary TSE:4503,US-LISTED (ADR),AMBISOME,AMPHOTERICIN B,NDA050740,1,Efficacy Supplement Approval,2000-01-28,STANDARD,,,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/50-740S001_AmBisome_Approv.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/50-740S001_AmBisome_prntlbl.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050740,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=0",Verified - FDA approval letter,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
S2000-NDA020634-8,Johnson & Johnson,JANSSEN PHARMS,JNJ,NYSE,US-LISTED,LEVAQUIN,LEVOFLOXACIN,NDA020634,8,Efficacy Supplement Approval,2000-02-02,STANDARD,,,,"http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/20635S7,8LTR.PDF",,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020634,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=0",Verified - FDA approval letter,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
S2000-NDA020635-7,Johnson & Johnson,JANSSEN PHARMS,JNJ,NYSE,US-LISTED,LEVAQUIN IN DEXTROSE 5% IN PLASTIC CONTAINER,LEVOFLOXACIN,NDA020635,7,Efficacy Supplement Approval,2000-02-02,STANDARD,,,,"http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/20635S7,8LTR.PDF",,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020635,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=0",Verified - FDA approval letter,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
S2000-NDA020819-3,AbbVie Inc.,ABBVIE,ABBV,NYSE,US-LISTED,ZEMPLAR,PARICALCITOL,NDA020819,3,Efficacy Supplement Approval,2000-02-02,UNKNOWN,,Vitamin D2 Analog [EPC]; Vitamin D Analog [EPC],INTRAVENOUS,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/20819S3LTR.PDF,http://www.accessdata.fda.gov/drugsatfda_docs/label/2000/20819S3LBL.PDF,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020819,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=0",Verified - FDA approval letter,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
