decision_id,year,application_number,application_kind,company_name,openfda_sponsor_name,ticker,exchange,sponsor_resolution_basis,drug_brand,drug_generic,product_details,decision_type,decision_date,chemical_type_code,chemical_type_description,review_priority,indication,source_url_1,source_url_2,source_url_3,payload_file,payload_sha256_prefix,verification_status,us_investable_class,notes
V27-NDA020989-2000-01-11,2000,NDA020989,NDA,COSETTE,COSETTE,,,UNRESOLVED - no exact match for COSETTE; blank beats guessed,EVOXAC,CEVIMELINE HYDROCHLORIDE,EVOXAC (CAPSULE ORAL),Original Approval (Type 1 - New Molecular Entity),2000-01-11,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020989,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA020989""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA020989 approved 2000-01-11, brand EVOXAC, type Type 1 - New Molecular Entity, sponsor COSETTE. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA021014-2000-01-14,2000,NDA021014,NDA,NOVARTIS,NOVARTIS,,,UNRESOLVED - no exact match for NOVARTIS; blank beats guessed,TRILEPTAL,OXCARBAZEPINE,TRILEPTAL (TABLET ORAL); TRILEPTAL (TABLET ORAL),Original Approval (Type 1 - New Molecular Entity),2000-01-14,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021014,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021014""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA021014 approved 2000-01-14, brand TRILEPTAL, type Type 1 - New Molecular Entity, sponsor NOVARTIS. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA021117-2000-01-28,2000,NDA021117,NDA,HOSPIRA,HOSPIRA,,,UNRESOLVED - no exact match for HOSPIRA; blank beats guessed,CALCIUM CHLORIDE,CALCIUM CHLORIDE,CALCIUM CHLORIDE 10% IN PLASTIC CONTAINER (INJECTABLE INJECTION),Original Approval (Type 3 - New Dosage Form),2000-01-28,TYPE 3,Type 3 - New Dosage Form,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021117,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021117""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=2000",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA021117 approved 2000-01-28, brand CALCIUM CHLORIDE, type Type 3 - New Dosage Form, sponsor HOSPIRA. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA020987-2000-02-02,2000,NDA020987,NDA,WYETH PHARMS,WYETH PHARMS,,,UNRESOLVED - no exact match for WYETH PHARMS; blank beats guessed,PROTONIX DELAYED-RELEASE,PANTOPRAZOLE SODIUM,"PROTONIX (TABLET, DELAYED RELEASE ORAL); PROTONIX (TABLET, DELAYED RELEASE ORAL)",Original Approval (Type 1 - New Molecular Entity),2000-02-02,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020987,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA020987""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA020987 approved 2000-02-02, brand PROTONIX DELAYED-RELEASE, type Type 1 - New Molecular Entity, sponsor WYETH PHARMS. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA020120-2000-02-04,2000,NDA020120,NDA,LUPIN ATLANTIS,LUPIN ATLANTIS,,,UNRESOLVED - no exact match for LUPIN ATLANTIS; blank beats guessed,ALLERNAZE,,"ALLERNAZE (SPRAY, METERED NASAL)",Original Approval (Type 3 - New Dosage Form),2000-02-04,TYPE 3,Type 3 - New Dosage Form,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020120,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA020120""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA020120 approved 2000-02-04, brand ALLERNAZE, type Type 3 - New Dosage Form, sponsor LUPIN ATLANTIS. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA021107-2000-02-09,2000,NDA021107,NDA,LEGACY,LEGACY,,,UNRESOLVED - no exact match for LEGACY; blank beats guessed,LOTRONEX,ALOSETRON HYDROCHLORIDE,LOTRONEX (TABLET ORAL); LOTRONEX (TABLET ORAL),Original Approval (Type 1 - New Molecular Entity),2000-02-09,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021107,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021107""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=2000",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA021107 approved 2000-02-09, brand LOTRONEX, type Type 1 - New Molecular Entity, sponsor LEGACY. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA021084-2000-02-17,2000,NDA021084,NDA,US ARMY MED RES,US ARMY MED RES,,,UNRESOLVED - no exact match for US ARMY MED RES; blank beats guessed,SKIN EXPOSURE REDUCTION PASTE AGAINST CHEMICAL WARFARE AGENTS,,SKIN EXPOSURE REDUCTION PASTE AGAINST CHEMICAL WARFARE AGENTS (PASTE TOPICAL),Original Approval (Type 1 - New Molecular Entity and Type 4 - New Combination),2000-02-17,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination,PRIORITY,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021084,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021084""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=2000",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA021084 approved 2000-02-17, brand SKIN EXPOSURE REDUCTION PASTE AGAINST CHEMICAL WARFARE AGENTS, type Type 1 - New Molecular Entity and Type 4 - New Combination, sponsor US ARMY MED RES. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA021114-2000-02-23,2000,NDA021114,NDA,ALCON PHARMS LTD,ALCON PHARMS LTD,,,UNRESOLVED - no exact match for ALCON PHARMS LTD; blank beats guessed,BETAXON,,BETAXON (SUSPENSION/DROPS OPHTHALMIC),Original Approval (Type 2 - New Active Ingredient),2000-02-23,TYPE 2,Type 2 - New Active Ingredient,PRIORITY,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021114,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021114""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=2000",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA021114 approved 2000-02-23, brand BETAXON, type Type 2 - New Active Ingredient, sponsor ALCON PHARMS LTD. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA020872-2000-02-25,2000,NDA020872,NDA,CHATTEM SANOFI,CHATTEM SANOFI,,,UNRESOLVED - no exact match for CHATTEM SANOFI; blank beats guessed,ALLEGRA HIVES 24HR,FEXOFENADINE HYDROCHLORIDE,ALLEGRA HIVES (TABLET ORAL); CHILDREN'S ALLEGRA HIVES (TABLET ORAL),Original Approval (Type 3 - New Dosage Form),2000-02-25,TYPE 3,Type 3 - New Dosage Form,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020872,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA020872""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA020872 approved 2000-02-25, brand ALLEGRA HIVES 24HR, type Type 3 - New Dosage Form, sponsor CHATTEM SANOFI. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA021015-2000-02-28,2000,NDA021015,NDA,BESINS HLTHCARE,BESINS HLTHCARE,,,UNRESOLVED - no exact match for BESINS HLTHCARE; blank beats guessed,TESTOSTERONE,TESTOSTERONE,"ANDROGEL (GEL TRANSDERMAL); ANDROGEL (GEL, METERED TRANSDERMAL)",Original Approval (Type 3 - New Dosage Form),2000-02-28,TYPE 3,Type 3 - New Dosage Form,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021015,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021015""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA021015 approved 2000-02-28, brand TESTOSTERONE, type Type 3 - New Dosage Form, sponsor BESINS HLTHCARE. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
