audit_id,year,application_number,application_kind,drug_brand,drug_generic,openfda_holder,payload_decision_date,payload_class_code,payload_class_description,payload_review_priority,tracked_in,tracked_row_id,tracked_table_date,tracked_table_class,tracked_table_priority,date_agreement,class_agreement,priority_agreement,matched_via,verdict,review_flag,source_url_drugsatfda,source_query_url
F1983-001,1983,NDA018615,NDA,SULFATRIM,SULFAMETHOXAZOLE AND TRIMETHOPRIM,PHARM ASSOC,1983-01-07,,,,fda_original_non_nme_decisions.csv,O-NDA018615,1983-01-07,,,YES,BOTH_NOT_STATED,BOTH_NOT_STATED,application_number,TRACKED_REVIEW,payload published no submission_class_code | payload published no review_priority,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018615,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19830101%20TO%2019831231]&limit=1000&skip=0"
F1983-002,1983,NDA018706,NDA,HYDERGINE LC,ERGOLOID MESYLATES 1MG,NOVARTIS,1983-01-18,TYPE 3,Type 3 - New Dosage Form,STANDARD,fda_original_non_nme_decisions.csv,O-NDA018706,1983-01-18,TYPE 3,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018706,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19830101%20TO%2019831231]&limit=1000&skip=1000"
F1983-003,1983,NDA018062,NDA,PROVENTIL,ALBUTEROL SULFATE EQ 2MG BASE/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,SCHERING,1983-01-19,TYPE 3,Type 3 - New Dosage Form,STANDARD,fda_original_non_nme_decisions.csv,O-NDA018062,1983-01-19,TYPE 3,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018062,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19830101%20TO%2019831231]&limit=1000&skip=0"
F1983-004,1983,NDA018774,NDA,NITROL,NITROGLYCERIN 0.8MG/ML,RORER,1983-01-19,,,,fda_original_non_nme_decisions.csv,O-NDA018774,1983-01-19,,,YES,BOTH_NOT_STATED,BOTH_NOT_STATED,application_number,TRACKED_REVIEW,payload published no submission_class_code | payload published no review_priority,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018774,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19830101%20TO%2019831231]&limit=1000&skip=0"
F1983-005,1983,NDA018812,NDA,SULFAMETHOXAZOLE AND TRIMETHOPRIM,SULFAMETHOXAZOLE 200MG/5ML; TRIMETHOPRIM 40MG/5ML,TEVA,1983-01-28,,,,fda_original_non_nme_decisions.csv,O-NDA018812,1983-01-28,,,YES,BOTH_NOT_STATED,BOTH_NOT_STATED,application_number,TRACKED_REVIEW,payload published no submission_class_code | payload published no review_priority,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018812,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19830101%20TO%2019831231]&limit=1000&skip=0"
F1983-006,1983,NDA018818,NDA,METRONIDAZOLE,METRONIDAZOLE 500MG,MUTUAL PHARM,1983-02-16,,,,fda_original_non_nme_decisions.csv,O-NDA018818,1983-02-16,,,YES,BOTH_NOT_STATED,BOTH_NOT_STATED,application_number,TRACKED_REVIEW,payload published no submission_class_code | payload published no review_priority,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018818,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19830101%20TO%2019831231]&limit=1000&skip=0"
F1983-007,1983,NDA018682,NDA,TZ-3,TIOCONAZOLE 1%,PFIZER,1983-02-18,TYPE 1,Type 1 - New Molecular Entity,STANDARD,pre1985_fda_decisions.csv,PRE1985-1983-09,1983-02-18,TYPE 1,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018682,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19830101%20TO%2019831231]&limit=1000&skip=0"
F1983-008,1983,NDA018225,NDA,BUMEX,BUMETANIDE,VALIDUS PHARMS,1983-02-28,TYPE 1,Type 1 - New Molecular Entity,STANDARD,pre1985_fda_decisions.csv,PRE1985-1983-10,1983-02-28,TYPE 1,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018225,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19830101%20TO%2019831231]&limit=1000&skip=0"
F1983-009,1983,NDA018226,NDA,BUMEX,BUMETANIDE 0.25MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,VALIDUS PHARMS,1983-02-28,TYPE 3,Type 3 - New Dosage Form,STANDARD,fda_original_non_nme_decisions.csv,O-NDA018226,1983-02-28,TYPE 3,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018226,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19830101%20TO%2019831231]&limit=1000&skip=0"
F1983-010,1983,NDA050544,NDA,NETROMYCIN,NETILMICIN SULFATE EQ 25MG BASE/ML,SCHERING,1983-02-28,TYPE 1,Type 1 - New Molecular Entity,STANDARD,pre1985_fda_decisions.csv,PRE1985-1983-05,1983-02-28,TYPE 1,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050544,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19830101%20TO%2019831231]&limit=1000&skip=0"
