evidence_id,category,claim,method,observed_value,source_file,source_sha256_prefix,source_url,verification_status,notes
PRE1939EV-01,application-number census,The official Drugs@FDA application map contains exactly 2 applications numbered below NDA000552,Enumerated all 29336 rows of the unfiltered official application map and selected ApplNo < 552 (numeric),"2 applications: 000004, 000159",data/raw/drugsatfda_data_files_2026_09/Applications_all_types.txt,200df03357ab9eee,https://www.fda.gov/media/89850/download?attachment,Verified - complete enumeration of the official map,"Applications 000001-000003 and 000005-000158 do not exist in the official database at all. The census is therefore exhaustive, not a sample."
PRE1939EV-02,application-number census,NDA000004 (PHARMICS) is the lowest-numbered application in the official database,Verbatim row copy from the official application map and the official Submissions windows,"ApplNo 000004, ApplType NDA, SponsorName PHARMICS; recorded submission action: ORIG 1, status AP, 1969-07-16 (class 19, priority UNKNOWN)",data/raw/drugsatfda_data_files_2026_09/Submissions_1965_1979.txt,eb7003d97b6b2402,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=000004,Verified - verbatim from the official data files,"FLAGGED irregularity, never corrected: the lowest application number carries a 1969 approval action, not a 1938/1939 one. NDA numbering began with the 1938 FD&C Act, but the official database records no 1938 action for this application. Product of record (committed openFDA payload): PAREDRINE, hydroxyamphetamine hydrobromide 1% ophthalmic solution/drops, marketing status Discontinued, submission class UNKNOWN. It is therefore a 1969 non-NME-comparable original, tracked in data/pre1980_originals_audit_1965_1976.csv row PRE1980AUDIT-1969-10 - NOT in data/pre1980_fda_decisions.csv, which holds only Type 1 / Type 1-4 NME rows."
PRE1939EV-03,application-number census,NDA000159 (LILLY) is the other application numbered below the boundary,Verbatim row copy from the official application map and the official Submissions windows,"ApplNo 000159, ApplType NDA, SponsorName LILLY; recorded submission action: ORIG 1, status AP, 1939-03-09 (class blank, priority blank)",data/raw/drugsatfda_data_files_1938_1964/Submissions_1938_1964.txt,f7d21d953c72bcbd,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=000159,Verified - verbatim from the official data files,"A 1939 original approval action, non-NME-comparable (submission class not published). Product of record (committed openFDA payload): SULFAPYRIDINE, SULFAPYRIDINE 500MG, TABLET; ORAL, marketing status Discontinued. Tracked in pre-1965 originals audit (1939-1964) row PRE1965AUDIT-1939-02 - NOT in data/pre1965_fda_decisions.csv, which holds NME-comparable rows only (that table's earliest row is 1942). CORRECTION (v29 (2026-09-22)): v28 wrote 'already counted in data/pre1965_fda_decisions.csv'; the audit row's own tracked_in cell reads 'none (not a Type 1/1-4 original approval)'."
PRE1939EV-04,boundary date,The earliest FDA drug-approval action recorded in the official database is 1939-02-09,Minimum SubmissionStatusDate over all 1215 rows of the official 1938-1964 Submissions window,"1939-02-09 00:00:00 on ApplNo 000552 (ORIG 1, status AP, class 19)",data/raw/drugsatfda_data_files_1938_1964/Submissions_1938_1964.txt,f7d21d953c72bcbd,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=000552,Verified - minimum over the committed official extract,"NDA000552 is the first heparin NDA (LIQUAEMIN SODIUM, Aspen Global Inc.), independently confirmed in the v26 era table by Federal Register 91 FR (2026-03-09)."
PRE1939EV-05,boundary date,0 submission actions are dated in 1938 in the official database window,Counted rows whose SubmissionStatusDate year == 1938 among all 1215 rows of the official 1938-1964 Submissions window,0 rows (year distribution starts at 1939: 15 rows),data/raw/drugsatfda_data_files_1938_1964/Submissions_1938_1964.txt,f7d21d953c72bcbd,https://www.fda.gov/media/89850/download?attachment,Verified - complete count over the committed official extract,"Re-verifies data/pre1938_determination.csv line by line. Scope caveat, stated not smoothed: this counts rows whose status date parses to 1938; rows with an empty or unparseable status date are invisible to any year filter, so the whole-table census captured by fetch_jobs/drugsatfda_pre1939_census_v28.json (landed) counts those separately - 8 undated rows, EV-13 - and every row dated before 1939 anywhere in the 193,810-row official table - 1 row(s), all pre-statute placeholders, EV-12."
PRE1939EV-06,payload coverage,The committed openFDA Drugs@FDA decision payloads start at 1939,Enumerated decisions_*.json in the payload block and re-hashed decisions_1939.json against its runner manifest entry,26 payload years 1939-1964; decisions_1939.json sha256 48b665f9cd80ecf5... (7 decisions); no decisions_1938.json exists,data/raw/openfda_orig_decisions_1939_1964/,48b665f9cd80ecf5,https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:%22ORIG%22%20AND%20submissions.submission_status:%22AP%22%20AND%20submissions.submission_status_date:[19390101%20TO%2019391231]&limit=1000&skip=0,Verified - SHA-256 matches the runner manifest,The openFDA Drugs@FDA extract is the same source of record used for every era block in this repository.
PRE1939EV-07,official series,FDA's official NDA series starts in 1938 and publishes 1938-1940 only combined,"Read the committed official-series table (FDA 'Summary of NDA approvals and receipts, 1938-present'), rows 1938-1940","1938: no figure published; 1939: no figure published; 1940: '1782 (1938-40)' NDAs approved, '14 (1940 only)' NMEs, '2752 (1938-40)' received",data/fda_official_year_series.csv,,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,Verified - verbatim from the FDA official series,"There is no official per-year NDA/NME figure for 1938 or 1939 anywhere in FDA's series, so no 1938 count can be asserted without inventing one."
PRE1939EV-08,non-approval decisions,The official Drugs@FDA Submissions table publishes approval-family actions only (AP; TA outside the committed windows) - it does not contain refused (RE) or withdrawn (W) decisions,Counted distinct SubmissionStatus values over both committed official windows (1215 rows 1938-1964 and 10753 rows 1965-1979),"1938-1964: {'AP': 1215}; 1965-1979: {'AP': 10753} (submission types 1938-1964: {'ORIG': 850, 'SUPPL': 365}; 1965-1979 types: {'ORIG': 2311, 'SUPPL': 8442})",data/raw/drugsatfda_data_files_1938_1964/Submissions_1938_1964.txt; data/raw/drugsatfda_data_files_2026_09/Submissions_1965_1979.txt,f7d21d953c72bcbd,https://www.fda.gov/media/89850/download?attachment,Verified - complete count over the committed official extracts,"CORRECTION to the v27 site/README copy, which described the 1938-1964 register as 'ORIG/AP plus RE, W, etc.' and said 'this is where non-approval decisions (rejections/withdrawals) live'. Every one of the 1,215 rows has submission_status AP. Non-approval FDA decisions are not obtainable from Drugs@FDA Submissions.txt; the project's CRL evidence comes from FDA's separate CRL database (data/fda_crl_master.csv, 458 rows). The whole-table status census landed (v29 (2026-09-22), EV-14): statuses over all 193,810 rows are {'<EMPTY>': 1, 'AP': 192604, 'TA': 1205} - AP, TA (tentative approval) and one empty status; no RE, W or CR status exists anywhere in the table. v28's wording 'approval actions only' is therefore refined to 'approval-family actions only'; the correction itself stands."
PRE1939EV-09,statutory framework,No federal pre-market drug approval system existed before 1938,Read the 1906 Food and Drugs Act in full (U.S. Statutes at Large via govinfo.gov),"The 1906 Act prohibits manufacturing/interstate shipment of adulterated or misbranded drugs and enforces by notice, certification to the district attorney, seizure and criminal penalty. It creates no application, no filing and no approval. Examinations are assigned to the Bureau of Chemistry, Department of Agriculture (Sec. 4).",(external primary source),,https://www.govinfo.gov/content/pkg/STATUTE-34/pdf/STATUTE-34-Pg768.pdf,Verified - statute text retrieved and read from govinfo.gov,"Consequence for this project: there is no such thing as an 'FDA approval decision' before the 1938 FD&C Act, so a pre-1938 decision table would necessarily be invented. None is written."
PRE1939EV-10,statutory framework,Federal pre-market LICENSURE of one drug class predates the FDA by 36 years,Read the Biologics Control Act of 1902 in full (U.S. Statutes at Large via govinfo.gov),"From six months after the regulations were promulgated, no virus, therapeutic serum, toxin, antitoxin or analogous product for the prevention and cure of human disease may be sold in or shipped into the District of Columbia or across state lines unless made at an establishment holding an unsuspended, unrevoked license issued by the Secretary of the Treasury, and unless each package bears the proper name, manufacturer name, address, license number and an expiration date.",(external primary source),,https://www.govinfo.gov/content/pkg/STATUTE-32/pdf/STATUTE-32-Pg728.pdf,Verified - statute text retrieved and read from govinfo.gov,"This is the only pre-1938 federal drug pre-market authorisation regime. It was administered by the Public Health Service, not by FDA; biologics authority moved to FDA in 1972. No official machine-readable census of individual 1902-1938 licenses is published, so no per-license rows are asserted anywhere in this repository - documented as an open data gap, not filled by inference."
PRE1939EV-11,statutory framework,The new-drug application was created by the 1938 FD&C Act,Read the enacting chapter in the U.S. Statutes at Large (govinfo.gov) and the current codification at 21 U.S.C. 355(a),"Act of June 25, 1938, ch. 675, 52 Stat. 1040; Sec. 1: 'This Act may be cited as the Federal Food, Drug, and Cosmetic Act.' Now 21 U.S.C. 355(a): 'No person shall introduce or deliver for introduction into interstate commerce any new drug, unless an approval of an application filed pursuant to subsection (b) or (j) is effective with respect to such drug.'",(external primary source),,https://www.govinfo.gov/content/pkg/STATUTE-52/pdf/STATUTE-52-Pg1040.pdf,Verified - statute text and codification retrieved and read,"This is why the project's verified decision coverage begins in 1939: the application system itself began in 1938, and the official database's first recorded action is 1939-02-09. 21 U.S.C. 355 codification read at https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title21-section355&num=0&edition=prelim"
PRE1939EV-12,complete-table census (runner capture),"No FDA drug-approval action dated within the statutory era (on/after the FD&C Act, 1938-06-25) and before 1939-02-09 exists anywhere in the complete official Submissions table; exactly one row carries a pre-statute placeholder date","Runner capture: date_year_before 1939 over every row of Submissions.txt (193,810 rows in the member); each kept row's date compared with the FD&C Act enactment date 1938-06-25 (register row 1938)","1 row(s) dated before 1939 of 193,810: ApplNo=060904; SubmissionClassCodeID=(blank); SubmissionType=ORIG; SubmissionNo=1; SubmissionStatus=AP; SubmissionStatusDate=1900-01-01 00:00:00; SubmissionsPublicNotes=(blank); ReviewPriority=(blank); rows dated 1938-06-25..1938-12-31: 0; pre-statute rows: 1",data/raw/drugsatfda_pre1939_census_v28/Submissions_before_1939.txt,ef834847c55f51dd,https://www.fda.gov/media/89850/download?attachment,"Verified - complete official table, not a year-filtered window (v29 (2026-09-22))","FLAGGED irregularity, published verbatim, never corrected and never counted: FLAG-PRE-STATUTE-DATE. The date 1900-01-01 precedes the Biologics Control Act (1902-07-01), the Food and Drugs Act (1906-06-30) and the FD&C Act (1938-06-25) that created the new-drug application, so it cannot be the date of an action on an application; it is a placeholder value in the official table (the schema allows NULL: Submissions: ""[SubmissionStatus] [char](2) NULL"", ""[SubmissionStatusDate] [datetime] NULL""). ApplNo(s) 060904 have no row in the committed 29,336-row official application map (EV-16). The v28 hypothesis 'expect 0 rows' was therefore wrong by exactly this one placeholder row; the 1939-02-09 boundary (EV-04) stands. Adjudication rule, stated not hidden: a row dated on/after 1938-06-25 and before 1939 would contradict the boundary and aborts the build; a row dated before the statute is flagged."
PRE1939EV-13,complete-table census (runner capture),8 rows of the complete official Submissions table carry an empty or unparseable status date and are invisible to every year filter used in this repository,"Runner capture: date_unparseable on SubmissionStatusDate over every row of Submissions.txt (193,810 rows in the member)","8 undated rows ({'ORIG': 1, 'SUPPL': 7}): ApplNo=009658; SubmissionClassCodeID=(blank); SubmissionType=ORIG; SubmissionNo=1; SubmissionStatus=AP; SubmissionStatusDate=(blank); SubmissionsPublicNotes=(blank); ReviewPriority=(blank) | ApplNo=021014; SubmissionClassCodeID=4; SubmissionType=SUPPL; SubmissionNo=51; SubmissionStatus=AP; SubmissionStatusDate=(blank); SubmissionsPublicNotes=(blank); ReviewPriority=STANDARD | ApplNo=022315; SubmissionClassCodeID=3; SubmissionType=SUPPL; SubmissionNo=20; SubmissionStatus=AP; SubmissionStatusDate=(blank); SubmissionsPublicNotes=(blank); ReviewPriority=STANDARD | ApplNo=022505; SubmissionClassCodeID=4; SubmissionType=SUPPL; SubmissionNo=10; SubmissionStatus=AP; SubmissionStatusDate=(blank); SubmissionsPublicNotes=(blank); ReviewPriority=STANDARD | ApplNo=204353; SubmissionClassCodeID=3; SubmissionType=SUPPL; SubmissionNo=38; SubmissionStatus=AP; SubmissionStatusDate=(blank); SubmissionsPublicNotes=(blank); ReviewPriority=901 REQUIRED | ApplNo=214012; SubmissionClassCodeID=3; SubmissionType=SUPPL; SubmissionNo=20; SubmissionStatus=AP; SubmissionStatusDate=(blank); SubmissionsPublicNotes=(blank); ReviewPriority=STANDARD | ApplNo=215866; SubmissionClassCodeID=3; SubmissionType=SUPPL; SubmissionNo=52; SubmissionStatus=AP; SubmissionStatusDate=(blank); SubmissionsPublicNotes=(blank); ReviewPriority=STANDARD | ApplNo=217806; SubmissionClassCodeID=3; SubmissionType=SUPPL; SubmissionNo=50; SubmissionStatus=AP; SubmissionStatusDate=(blank); SubmissionsPublicNotes=(blank); ReviewPriority=STANDARD",data/raw/drugsatfda_pre1939_census_v28/Submissions_undated.txt,abbef9ccd4131453,https://www.fda.gov/media/89850/download?attachment,"Verified - complete official table, not a year-filtered window (v29 (2026-09-22))","This closes the year-filter scope caveat exhaustively: 193,810 rows = 1 pre-statute placeholder + 8 undated + 193,801 rows whose status date parses to a year >= 1939. None of the undated rows can be assigned to any year, so none is asserted as a decision of any year (including 1938). The single undated ORIG row (ApplNo 009658) has no row in the committed official application map either (009658 absent; EV-16). FLAG-UNDATED-ROW on every row."
PRE1939EV-14,non-approval decisions,"The complete official Drugs@FDA Submissions table publishes approval-family actions only - AP (approval) and TA (tentative approval) - plus one empty status; no refused (RE), withdrawn (W) or complete-response status exists in any row","Runner capture: column_counts on SubmissionStatus and on SubmissionType over every row of Submissions.txt; counts re-summed against the member row count (193,810)","SubmissionStatus census: {'<EMPTY>': 1, 'AP': 192604, 'TA': 1205} (sum 193,810); SubmissionType census: {'ORIG': 27862, 'SUPPL': 165948} (sum 193,810)",data/raw/drugsatfda_pre1939_census_v28/Submissions_status_counts.txt; data/raw/drugsatfda_pre1939_census_v28/Submissions_type_counts.txt,66587208fb0678f8,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-glossary-terms,"Verified - complete official table, not a year-filtered window (v29 (2026-09-22))","Upgrades the v28 RE/W correction (EV-08) from 'true in both committed windows' to 'true in the complete official table', with one refinement: v28 wrote 'approval actions only'; the table also carries TA rows. FDA's Drugs@FDA glossary defines Tentative Approval verbatim: ""If a generic drug product is ready for approval before the expiration of any patents or exclusivities accorded to the reference listed drug product, FDA issues a tentative approval letter to the applicant. ... A tentative approval does not allow the applicant to market the generic drug product."" - an approval-family action, not a refusal or withdrawal. Both committed windows are 100% AP, so within 1938-1979 no TA or empty-status row exists in the pinned publication. Non-approval FDA decisions remain obtainable only from FDA's separate CRL database (data/fda_crl_master.csv)."
PRE1939EV-15,publication drift,The whole-table census and the committed year windows come from two different publications of the daily-updated official data file; the below-boundary facts are identical in both,"Compared the ':zip' manifest entries (SHA-256, bytes, capture time) and member row counts of the census capture against those of the committed windows; re-derived the below-boundary application set from the census publication and checked every window row of NDA000004/NDA000159 against its complete official history","windows: ZIP e145bc0f21e0da7a (6081382 bytes; 6 identical downloads recorded 2026-09-19T18:57:46Z..2026-09-21T07:43:25Z), Submissions 193,752 rows, Applications 29,336; census: ZIP 2e7342240fdb539a (6084077 bytes, captured 2026-09-21T23:34:24Z), Submissions 193,810 rows (+58), Applications 29,343 (+7); below-boundary applications in the census publication: ['000004', '000159']; window rows of those applications present in their complete history: 2/2 (complete history 6 rows)",data/raw/drugsatfda_pre1939_census_v28/manifest.json; data/raw/drugsatfda_data_files_2026_09/manifest.json; data/raw/drugsatfda_data_files_1938_1964/manifest.json,2e7342240fdb539a,https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files,Verified - both manifests committed; every figure re-read from them (v29 (2026-09-22)),"FDA states the cadence verbatim: ""The data file is updated each morning, Monday through Friday."" The committed windows stay pinned to their own publication (SHA-gated in every builder); the census describes the later publication and says so. Session observation, NOT reproducible from the committed tree and therefore not asserted in any verified cell: Actions run 33 also re-cut both year windows from the census publication (rows_kept 1,215 and 10,753, identical row sets, different row order; branch commit e6bd9b2, deliberately not merged). scripts/run_fetch_jobs.py now honours skip_existing for zip_extract jobs so a landed capture is never overwritten by a later publication."
