doc_row_id,appl_no,application_number,submission_type,submission_no,doc_type_id,doc_type_label,doc_type_label_basis,doc_date,doc_url,drugsatfda_url,evidence_source_file,evidence_source_line,evidence_manifest_sha256,verification_status,notes
PRE1980DOC-016792-495,016792,NDA016792,SUPPL,24,1,Approval letter (URL path /appletter/),INFERRED_FROM_OFFICIAL_URL_PATH,2005-01-13,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2005/16792s024ltr.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=016792,data/raw/drugsatfda_data_files_2026_09/ApplicationDocs_appl_window.txt,366,21f46bd9a919170db8ad89c329afec69c6132333a439c53b0c6dffffc684d7c8,Verified (verbatim Drugs@FDA document row; line number cited),"v23 2026-09-20: official Drugs@FDA document inventory row for an application with a 1977-1979 original approval action. FDA's document type dictionary is not part of the committed extracts, so the label is inferred from the official URL path and marked as inferred. Presence of a document is not evidence about the 1977-1979 decision itself."
PRE1980DOC-017362-564,017362,NDA017362,SUPPL,104,1,Approval letter (URL path /appletter/),INFERRED_FROM_OFFICIAL_URL_PATH,2007-01-16,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2007/017362s104_ltr.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017362,data/raw/drugsatfda_data_files_2026_09/ApplicationDocs_appl_window.txt,434,21f46bd9a919170db8ad89c329afec69c6132333a439c53b0c6dffffc684d7c8,Verified (verbatim Drugs@FDA document row; line number cited),"v23 2026-09-20: official Drugs@FDA document inventory row for an application with a 1977-1979 original approval action. FDA's document type dictionary is not part of the committed extracts, so the label is inferred from the official URL path and marked as inferred. Presence of a document is not evidence about the 1977-1979 decision itself."
PRE1980DOC-017385-571,017385,NDA017385,SUPPL,62,1,Approval letter (URL path /appletter/),INFERRED_FROM_OFFICIAL_URL_PATH,2016-03-22,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2016/017385Orig1s062ltr.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017385,data/raw/drugsatfda_data_files_2026_09/ApplicationDocs_appl_window.txt,441,21f46bd9a919170db8ad89c329afec69c6132333a439c53b0c6dffffc684d7c8,Verified (verbatim Drugs@FDA document row; line number cited),"v23 2026-09-20: official Drugs@FDA document inventory row for an application with a 1977-1979 original approval action. FDA's document type dictionary is not part of the committed extracts, so the label is inferred from the official URL path and marked as inferred. Presence of a document is not evidence about the 1977-1979 decision itself."
PRE1980DOC-017422-578,017422,NDA017422,SUPPL,35,1,Approval letter (URL path /appletter/),INFERRED_FROM_OFFICIAL_URL_PATH,2003-03-10,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/17422slr035ltr.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017422,data/raw/drugsatfda_data_files_2026_09/ApplicationDocs_appl_window.txt,448,21f46bd9a919170db8ad89c329afec69c6132333a439c53b0c6dffffc684d7c8,Verified (verbatim Drugs@FDA document row; line number cited),"v23 2026-09-20: official Drugs@FDA document inventory row for an application with a 1977-1979 original approval action. FDA's document type dictionary is not part of the committed extracts, so the label is inferred from the official URL path and marked as inferred. Presence of a document is not evidence about the 1977-1979 decision itself."
PRE1980DOC-017422-579,017422,NDA017422,SUPPL,36,1,Approval letter (URL path /appletter/),INFERRED_FROM_OFFICIAL_URL_PATH,2005-10-25,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2005/017422s036ltr.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017422,data/raw/drugsatfda_data_files_2026_09/ApplicationDocs_appl_window.txt,449,21f46bd9a919170db8ad89c329afec69c6132333a439c53b0c6dffffc684d7c8,Verified (verbatim Drugs@FDA document row; line number cited),"v23 2026-09-20: official Drugs@FDA document inventory row for an application with a 1977-1979 original approval action. FDA's document type dictionary is not part of the committed extracts, so the label is inferred from the official URL path and marked as inferred. Presence of a document is not evidence about the 1977-1979 decision itself."
PRE1980DOC-017422-580,017422,NDA017422,SUPPL,38,1,Approval letter (URL path /appletter/),INFERRED_FROM_OFFICIAL_URL_PATH,2011-03-16,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/017422s038ltr.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017422,data/raw/drugsatfda_data_files_2026_09/ApplicationDocs_appl_window.txt,450,21f46bd9a919170db8ad89c329afec69c6132333a439c53b0c6dffffc684d7c8,Verified (verbatim Drugs@FDA document row; line number cited),"v23 2026-09-20: official Drugs@FDA document inventory row for an application with a 1977-1979 original approval action. FDA's document type dictionary is not part of the committed extracts, so the label is inferred from the official URL path and marked as inferred. Presence of a document is not evidence about the 1977-1979 decision itself."
PRE1980DOC-017422-581,017422,NDA017422,SUPPL,50,1,Approval letter (URL path /appletter/),INFERRED_FROM_OFFICIAL_URL_PATH,2016-05-02,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2016/017422Orig1s050ltr.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017422,data/raw/drugsatfda_data_files_2026_09/ApplicationDocs_appl_window.txt,451,21f46bd9a919170db8ad89c329afec69c6132333a439c53b0c6dffffc684d7c8,Verified (verbatim Drugs@FDA document row; line number cited),"v23 2026-09-20: official Drugs@FDA document inventory row for an application with a 1977-1979 original approval action. FDA's document type dictionary is not part of the committed extracts, so the label is inferred from the official URL path and marked as inferred. Presence of a document is not evidence about the 1977-1979 decision itself."
PRE1980DOC-017438-586,017438,NDA017438,SUPPL,51,1,Approval letter (URL path /appletter/),INFERRED_FROM_OFFICIAL_URL_PATH,2002-04-03,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/16677s124ltr.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017438,data/raw/drugsatfda_data_files_2026_09/ApplicationDocs_appl_window.txt,456,21f46bd9a919170db8ad89c329afec69c6132333a439c53b0c6dffffc684d7c8,Verified (verbatim Drugs@FDA document row; line number cited),"v23 2026-09-20: official Drugs@FDA document inventory row for an application with a 1977-1979 original approval action. FDA's document type dictionary is not part of the committed extracts, so the label is inferred from the official URL path and marked as inferred. Presence of a document is not evidence about the 1977-1979 decision itself."
PRE1980DOC-017451-591,017451,NDA017451,SUPPL,58,1,Approval letter (URL path /appletter/),INFERRED_FROM_OFFICIAL_URL_PATH,2005-09-08,"http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2005/013684s092,016677s139,et al_ltr.pdf",https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017451,data/raw/drugsatfda_data_files_2026_09/ApplicationDocs_appl_window.txt,461,21f46bd9a919170db8ad89c329afec69c6132333a439c53b0c6dffffc684d7c8,Verified (verbatim Drugs@FDA document row; line number cited),"v23 2026-09-20: official Drugs@FDA document inventory row for an application with a 1977-1979 original approval action. FDA's document type dictionary is not part of the committed extracts, so the label is inferred from the official URL path and marked as inferred. Presence of a document is not evidence about the 1977-1979 decision itself."
PRE1980DOC-017484-601,017484,NDA017484,SUPPL,61,1,Approval letter (URL path /appletter/),INFERRED_FROM_OFFICIAL_URL_PATH,2005-06-08,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2005/017484s061ltr.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017484,data/raw/drugsatfda_data_files_2026_09/ApplicationDocs_appl_window.txt,469,21f46bd9a919170db8ad89c329afec69c6132333a439c53b0c6dffffc684d7c8,Verified (verbatim Drugs@FDA document row; line number cited),"v23 2026-09-20: official Drugs@FDA document inventory row for an application with a 1977-1979 original approval action. FDA's document type dictionary is not part of the committed extracts, so the label is inferred from the official URL path and marked as inferred. Presence of a document is not evidence about the 1977-1979 decision itself."
