file,role,rows,rows_in_source_member,bytes,sha256_recomputed,sha256_recorded_in_manifest,sha256_match,manifest_request_id,filter_expression,manifest_generated_utc,verification_status,notes
data/raw/drugsatfda_data_files_2026_09/Submissions_1965_1979.txt,Every Drugs@FDA submission with a 1965-1979 status date (the action register's primary source),10753,193752,491792,eb7003d97b6b24023b5fde542a5ba7ca4292259d9f323a1530d387a6e0091311,eb7003d97b6b24023b5fde542a5ba7ca4292259d9f323a1530d387a6e0091311,TRUE,drugsatfda_data_files:Submissions.txt,"{""collect_applnos"": true, ""column"": ""SubmissionStatusDate"", ""type"": ""date_year_in"", ""years"": [1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979]}",2026-09-21T07:43:25Z,Verified (re-hashed on this build; matches the runner manifest),"v23 2026-09-20: the runner recorded this SHA-256 when it fetched the file; the builder re-hashes the committed file before using a single value from it, so a post-fetch edit of the official extract aborts the build instead of silently changing a published row."
data/raw/drugsatfda_data_files_2026_09/Applications_all_types.txt,Unfiltered ApplNo -> NDA/ANDA/BLA map used to classify each original action,29336,29336,751544,200df03357ab9eee1e3e152d3fe5c0f07e533dfbb2f22cc2f7887fa378180f12,200df03357ab9eee1e3e152d3fe5c0f07e533dfbb2f22cc2f7887fa378180f12,TRUE,drugsatfda_data_files:Applications.txt,"""FULL""",2026-09-21T07:43:25Z,Verified (re-hashed on this build; matches the runner manifest),"v23 2026-09-20: the runner recorded this SHA-256 when it fetched the file; the builder re-hashes the committed file before using a single value from it, so a post-fetch edit of the official extract aborts the build instead of silently changing a published row."
data/raw/drugsatfda_data_files_2026_09/Applications_appl_window.txt,Windowed application rows (holder names for window applications),2325,29336,57312,511d20c551213c6ce424cb2d2a5122803ee3871becb42bac2223c68f3f16a473,511d20c551213c6ce424cb2d2a5122803ee3871becb42bac2223c68f3f16a473,TRUE,drugsatfda_data_files:Applications.txt,"{""column"": ""ApplNo"", ""type"": ""applno_in_collected""}",2026-09-21T07:43:25Z,Verified (re-hashed on this build; matches the runner manifest),"v23 2026-09-20: the runner recorded this SHA-256 when it fetched the file; the builder re-hashes the committed file before using a single value from it, so a post-fetch edit of the official extract aborts the build instead of silently changing a published row."
data/raw/drugsatfda_data_files_2026_09/Products_appl_window.txt,"Windowed product rows (brand, strength, form, route)",3630,51779,365476,a89ae98e74da53e0f3569417fec8882241507d114b62e24fab6a9c3865c4f81c,a89ae98e74da53e0f3569417fec8882241507d114b62e24fab6a9c3865c4f81c,TRUE,drugsatfda_data_files:Products.txt,"{""column"": ""ApplNo"", ""type"": ""applno_in_collected""}",2026-09-21T07:43:25Z,Verified (re-hashed on this build; matches the runner manifest),"v23 2026-09-20: the runner recorded this SHA-256 when it fetched the file; the builder re-hashes the committed file before using a single value from it, so a post-fetch edit of the official extract aborts the build instead of silently changing a published row."
data/raw/drugsatfda_data_files_2026_09/ApplicationDocs_appl_window.txt,"Windowed official document rows (approval letters, labels, reviews)",4449,81081,609312,21f46bd9a919170db8ad89c329afec69c6132333a439c53b0c6dffffc684d7c8,21f46bd9a919170db8ad89c329afec69c6132333a439c53b0c6dffffc684d7c8,TRUE,drugsatfda_data_files:ApplicationDocs.txt,"{""column"": ""ApplNo"", ""type"": ""applno_in_collected""}",2026-09-21T07:43:25Z,Verified (re-hashed on this build; matches the runner manifest),"v23 2026-09-20: the runner recorded this SHA-256 when it fetched the file; the builder re-hashes the committed file before using a single value from it, so a post-fetch edit of the official extract aborts the build instead of silently changing a published row."
data/raw/drugsatfda_data_files_2026_09/SubmissionClass_Lookup.txt,"FDA's submission class code dictionary (TYPE 1..TYPE 10, EFFICACY, LABELING, MANUF (CMC), ...)",28,28,1276,b2fba5968a0bc2c495e3fe5153767b5198d84b741a34bcfeee61c863dff7884a,b2fba5968a0bc2c495e3fe5153767b5198d84b741a34bcfeee61c863dff7884a,TRUE,drugsatfda_data_files:SubmissionClass_Lookup.txt,"""FULL""",2026-09-21T07:43:25Z,Verified (re-hashed on this build; matches the runner manifest),"v23 2026-09-20: the runner recorded this SHA-256 when it fetched the file; the builder re-hashes the committed file before using a single value from it, so a post-fetch edit of the official extract aborts the build instead of silently changing a published row."
data/raw/openfda_orig_decisions_1975_1979/decisions_1977.json|decisions_1978.json|decisions_1979.json,openFDA ORIG+AP payloads for the three focus years (cross-check of every tracked original),170,,222343,05dba85786f01d518c785fc71f9939ec1a5e1c8a9f301a3021e192401703f7ba,||,TRUE,orig_decisions_1977/1978/1979 (openfda_orig_decisions_1975_1979),"submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[YYYY0101 TO YYYY1231]",,Verified (payload files re-hashed and matched to the committed manifest),v23 2026-09-20: payloads are the v20 cross-check basis; the register's tracked rows are joined to them by ApplNo and the join is asserted to be complete.
data/pre1980_fda_decisions.csv,The 173-row verified Type 1/1-4 decision table (READ-ONLY input; v23 never writes it),173,,324738,d0c128527c1a1dc365df96c0b7794d7a1c7de6cb1a7682274a2d840969d5c968,,,,,,Read-only input,v23 2026-09-20: SHA-256 recorded so a later session can prove whether the 173-row table moved. v23 does not write it and does not add Selacryn or any candidate.
data/pre1980_originals_audit_1977_1979.csv,v20 170-row original-application audit (join target for tracked rows),170,,144713,98099c7ef83c30539dd857544f29741c1a7b4a801d06656e2df7928ef1d60efc,,,,,,Read-only input,v23 2026-09-20: join asserted complete (170/170).
data/pre1980_full_db_crosscheck_1977_1979.csv,v20.1 79-row KIND_UNRESOLVED cross-check (evidence for the unresolved class),79,,50897,0676c74bd1b05d9f7dc6e70545426e195fd868e05139689a2935b984e5ab7ac9,,,,,,Read-only input,v23 2026-09-20: join asserted complete (79/79 unresolved rows matched).
