search_id,year,query,source,result,names_asserted,status,url,notes
SEARCH-1977-01,1977,KIND_UNRESOLVED ORIG/AP 1977 class census in pre1980_full_db_crosscheck_1977_1979.csv,Committed full Drugs@FDA database cross-check (v20),"32 KIND_UNRESOLVED rows: 27 unpublished class, 2 TYPE 5, 2 TYPE 3, 1 TYPE 2, 0 TYPE 1, 0 TYPE 1/4.",,NO_1977_NME_NAMED,data/pre1980_full_db_crosscheck_1977_1979.csv,KIND_UNRESOLVED cannot name the official 8-NME shortfall because none of the 32 rows is TYPE 1/1-4.
SEARCH-1977-02,1977,Hussar 1978 'New Drugs of 1977' American Journal of Nursing,AJN / Lippincott (paywalled),The 1978 Hussar review is paywalled from this sandbox; no NME names were copied from it.,,PAYWALLED_NOT_USED_AS_NAMES,https://journals.lww.com/ajnonline/abstract/1978/07000/new_drugs_of_1977.36.aspx,Standing rule: do not invent missing NME names and do not promote a paywalled secondary list into the candidate ledger.
SEARCH-1977-03,1977,NCATS Inxight Drugs / Orange Book NME Appendix 1950-1993 first-approved-in-1977,NCATS Inxight Drugs (NIH),Colestipol (Colestid) first-approved 1977 matches the already-enumerated TYPE 1 row NDA017563. No additional 1977 NME name recovered from public Inxight pages this session.,,MATCHES_ALREADY_ENUMERATED,https://drugs.ncats.io/,A hit that already sits in pre1980_fda_decisions.csv is not a gap fill.
SEARCH-1977-04,1977,Drugs@FDA monthly original-approval listing August 1977,FDA Drugs@FDA (accessdata.fda.gov),Public monthly ORIG listings recovered in prior sessions list only already-enumerated TYPE 1s (Tagamet NDA017920 1977-08-16 among them).,,NO_NEW_1977_NME_NAMED,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm,Monthly ORIG pages are not a source of the missing 8.
SEARCH-1977-05,1977,vidarabine / Vira-A as a possible 1977 NME fill,Committed 1965-1979 payloads + literature,Vira-A (vidarabine) NDA050486 is already enumerated as a 1976 TYPE 1 original. Mixed 1976 ophthalmic vs 1977 IV reports in literature are not a verified 1977 NME fill.,,ALREADY_ENUMERATED_OTHER_YEAR,data/pre1980_fda_decisions.csv,Do not double-count a 1976 TYPE 1 as a 1977 gap fill.
SEARCH-1977-06,1977,Federal Register withdrawal / DESI notices naming a 1977 NME absent from Drugs@FDA,GPO govinfo Federal Register HTML,"This session's FR search named NDA 18-103 Selacryn (a 1979 candidate), not a 1977 NME. No 1977 NME name was recovered from FR HTML.",,NO_1977_NME_NAMED,https://www.govinfo.gov/app/search,The 1977x8 still require the 1989 CDER 'Offices of Drug Evaluation: Statistical Report' (FDA History Office Files) or the contemporaneous annual report.
SEARCH-1978-01,1978,ApplNo 012043 in Submissions_1965_1979.txt / Applications_all_types.txt / payloads,Committed Drugs@FDA database files,One Submissions ORIG/AP row 1978-10-16 TYPE 1/4 STANDARD; 0 Applications rows; 0 Products rows; 0 payload rows.,,INVENTORY_NOT_GAP_FILLER,data/raw/drugsatfda_data_files_2026_09/Submissions_1965_1979.txt,1978 has no official shortfall. 012043 cannot fill 1977x8 or 1979x1. Capture V22-C03.
SEARCH-1979-01,1979,Federal Register NDA 18-103 Selacryn (ticrynafen) Tablets,Federal Register 61 FR 25228 (1996-05-20) Docket 96N-0151 FR Doc 96-12570,"FDA withdrew NDA 18-103 Selacryn (ticrynafen) Tablets held by SmithKline Beecham. Company discontinued marketing in 1980 because of liver toxicity observed after approval of the NDA. Notice does not state the original approval date, class, or priority.",Selacryn (ticrynafen) NDA 18-103 / NDA018103,NAMED_CANDIDATE_NOT_ADDED,https://www.govinfo.gov/content/pkg/FR-1996-05-20/html/96-12570.htm,Capture V22-C01. Recorded on missing_nme_candidates.csv GAP-1979-01. Not added to the decision table.
SEARCH-1979-02,1979,"018103 / SELACRYN / TICRYNAFEN in Applications_all_types, Submissions, Products, 1965-1979 payloads",Committed Drugs@FDA database files + ORIG/AP payloads,"0 hits in Applications_all_types.txt (29,336 rows), Applications_appl_window.txt, Submissions_1965_1979.txt, Products_appl_window.txt, and every 1965-1979 payload.",Selacryn (ticrynafen) NDA018103,NAMED_NDA_ABSENT_FROM_ALL_REMAINING_FDA_FILES,data/raw/drugsatfda_data_files_2026_09/Applications_all_types.txt,"Capture V22-C02. Seldane-class purge proven by a named NDA. Distinct from amikacin NDA050495 (openFDA shell, no submissions array)."
SEARCH-1979-03,1979,Literature FDA approval date 1979-05-02 for ticrynafen / tienilic acid,NCATS Inxight (OB NME Appendix 1950-1993); Pink Sheet/Citeline; ScienceDirect; Wikipedia Tienilic acid,NCATS Inxight cites first approved 1979 from the Orange Book NME Appendix 1950-1993. Secondary literature reports FDA 1979-05-02 and US market withdrawal January 1980. That calendar date is NOT in remaining FDA databases. The 1979 TYPE 1 list has no May 2 (gap Apr 4 Ceclor NDA050521 -> May 15 Nubain NDA018024).,Selacryn (ticrynafen) NDA018103,LITERATURE_DATE_NOT_FDA_DATABASE,https://en.wikipedia.org/wiki/Tienilic_acid,"The 1979-05-02 date is recorded as literature-reported, never written as an FDA-database decision_date."
