year,total_nmes_approved,official_fda_nme_count,nme_comparable_rows,official_series_delta,verified_decisions_tracked,priority_reviews,standard_reviews,unpublished_priority_reviews,orphan_drug_act_status,statutory_framework,landmark_approvals,historical_significance,primary_source_basis
1965,11,18,11,-7,11,5,5,1,The Orphan Drug Act had not yet been enacted; no orphan-law framework applied to these approvals.,Pre-Orphan Drug Act federal NDA framework; the 1962 Kefauver-Harris amendments governed efficacy and safety review.,"Celestone Soluspan, Trecator, Santyl, Serax, Indocin, Dopram, Gantanol-DS, Cordran, Citanest Plain, Velban, THAM","The committed Drugs@FDA extract enumerates 10 TYPE 1 plus 1 TYPE 1/4 original approvals among 32 ORIG/AP applications. Application-level enumeration, not a reconstructed contemporaneous statistic. Official series: 18 NMEs (53 NDAs approved). Live 2026-09-19: population re-query 52 (V21-C02); Gantanol-DS/Gantanol sulfamethoxazole class inversion verified on the Drugs@FDA website (V21-C09/C10).","openFDA Drugs@FDA ORIG/AP enumeration 1965 (data/raw/openfda_orig_decisions_1965_1969/decisions_1965.json: 32 original approvals; 11 TYPE 1/1-4 applications; payload SHA-256 verified against the runner manifest). Official counts from data/fda_official_year_series.csv (18 NMEs, 53 NDAs approved), re-read live from the FDA history page 2026-09-19 (V21-C08). Live probes and population re-queries in data/raw/pre1980_row_probes_1965_1976/ and data/raw/pre1980_year_populations_1965_1976/."
1966,7,10,7,-3,7,5,2,0,The Orphan Drug Act had not yet been enacted; no orphan-law framework applied to these approvals.,Pre-Orphan Drug Act federal NDA framework; the 1962 Kefauver-Harris amendments governed efficacy and safety review.,"Thioguanine, Ovulen-21, Sulla, Vercyte, Lasix, Tolinase, Zyloprim","6 TYPE 1 plus 1 TYPE 1/4 originals among 16 ORIG/AP applications. Official series: 10 NMEs (40 NDAs approved). Three ORIG approvals share 1966-07-01 (Sulla, Vercyte, Lasix). Every row carries a live per-row MATCH probe.","openFDA Drugs@FDA ORIG/AP enumeration 1966 (data/raw/openfda_orig_decisions_1965_1969/decisions_1966.json: 16 original approvals; 7 TYPE 1/1-4 applications; payload SHA-256 verified against the runner manifest). Official counts from data/fda_official_year_series.csv (10 NMEs, 40 NDAs approved), re-read live from the FDA history page 2026-09-19 (V21-C08). Live probes and population re-queries in data/raw/pre1980_row_probes_1965_1976/ and data/raw/pre1980_year_populations_1965_1976/."
1967,13,16,13,-3,13,8,5,0,The Orphan Drug Act had not yet been enacted; no orphan-law framework applied to these approvals.,Pre-Orphan Drug Act federal NDA framework; the 1962 Kefauver-Harris amendments governed efficacy and safety review.,"Edecrin, Clomid, Atromid-S, Ponstel, Vontrol, Mintezol, Haldol, Talwin, Navane, Vivactil, Myambutol, Inderal, Droxia","13 TYPE 1 originals among 32 ORIG/AP applications - the largest 1960s enumeration. Official series: 16 NMEs but 189 NDAs approved, i.e. FDA's contemporaneous approval count is ~6x the applications still present in the modern database.","openFDA Drugs@FDA ORIG/AP enumeration 1967 (data/raw/openfda_orig_decisions_1965_1969/decisions_1967.json: 32 original approvals; 13 TYPE 1/1-4 applications; payload SHA-256 verified against the runner manifest). Official counts from data/fda_official_year_series.csv (16 NMEs, 189 NDAs approved), re-read live from the FDA history page 2026-09-19 (V21-C08). Live probes and population re-queries in data/raw/pre1980_row_probes_1965_1976/ and data/raw/pre1980_year_populations_1965_1976/."
1968,4,14,4,-10,4,4,0,0,The Orphan Drug Act had not yet been enacted; no orphan-law framework applied to these approvals.,Pre-Orphan Drug Act federal NDA framework; the 1962 Kefauver-Harris amendments governed efficacy and safety review.,"Tegretol, Imuran, Desferal, Ovral","3 TYPE 1 plus 1 TYPE 1/4 originals among 22 ORIG/AP applications - the sparsest pre-1980 year. Official series: 14 NMEs (59 NDAs approved), so 10 official NMEs have no counterpart in the modern application database. Not guessed, sized and flagged.","openFDA Drugs@FDA ORIG/AP enumeration 1968 (data/raw/openfda_orig_decisions_1965_1969/decisions_1968.json: 22 original approvals; 4 TYPE 1/1-4 applications; payload SHA-256 verified against the runner manifest). Official counts from data/fda_official_year_series.csv (14 NMEs, 59 NDAs approved), re-read live from the FDA history page 2026-09-19 (V21-C08). Live probes and population re-queries in data/raw/pre1980_row_probes_1965_1976/ and data/raw/pre1980_year_populations_1965_1976/."
1969,8,5,8,3,8,3,5,0,The Orphan Drug Act had not yet been enacted; no orphan-law framework applied to these approvals.,Pre-Orphan Drug Act federal NDA framework; the 1962 Kefauver-Harris amendments governed efficacy and safety review.,"Quide, Teslac, Travase, Cytarabine, Matulane, Sinequan, Bilopaque, HMS",8 TYPE 1 originals among 25 ORIG/AP applications - the project's enumeration EXCEEDS FDA's official 5 NMEs by 3. All 8 probed live and matched field-by-field; the two counts measure different things (contemporaneous NME statistic vs current application-level TYPE 1 classification) and are published side by side.,"openFDA Drugs@FDA ORIG/AP enumeration 1969 (data/raw/openfda_orig_decisions_1965_1969/decisions_1969.json: 25 original approvals; 8 TYPE 1/1-4 applications; payload SHA-256 verified against the runner manifest). Official counts from data/fda_official_year_series.csv (5 NMEs, 38 NDAs approved), re-read live from the FDA history page 2026-09-19 (V21-C08). Live probes and population re-queries in data/raw/pre1980_row_probes_1965_1976/ and data/raw/pre1980_year_populations_1965_1976/."
1970,11,15,11,-4,11,7,4,0,The Orphan Drug Act had not yet been enacted; no orphan-law framework applied to these approvals.,Pre-Orphan Drug Act federal NDA framework; the 1962 Kefauver-Harris amendments governed efficacy and safety review.,"Urispas, Ketalar, Serentil, Lithonate, Dalmane, Cortrosyn, Mithracin, Larodopa, Lysodren, Cuprimine, FUDR",11 TYPE 1 originals among 38 ORIG/AP applications. Official series: 15 NMEs (51 NDAs approved). Carries the Cuprimine NDA019853 numbering anomaly (date confirmed live on two FDA surfaces) and the landmark levodopa (Larodopa) approval. Live population re-query 74 (V21-C03).,"openFDA Drugs@FDA ORIG/AP enumeration 1970 (data/raw/openfda_orig_decisions_1970_1974/decisions_1970.json: 38 original approvals; 11 TYPE 1/1-4 applications; payload SHA-256 verified against the runner manifest). Official counts from data/fda_official_year_series.csv (15 NMEs, 51 NDAs approved), re-read live from the FDA history page 2026-09-19 (V21-C08). Live probes and population re-queries in data/raw/pre1980_row_probes_1965_1976/ and data/raw/pre1980_year_populations_1965_1976/."
1971,7,12,7,-5,7,5,2,0,The Orphan Drug Act had not yet been enacted; no orphan-law framework applied to these approvals.,Pre-Orphan Drug Act federal NDA framework; the 1962 Kefauver-Harris amendments governed efficacy and safety review.,"Narcan, Lidex, Halotex, Megace, Retin-A, Robengatope, Ancobon",7 TYPE 1 originals among 48 ORIG/AP applications - 31 of the 48 are TYPE 5 new formulation/new manufacturer records. Official series: 12 NMEs (26 NDAs approved).,"openFDA Drugs@FDA ORIG/AP enumeration 1971 (data/raw/openfda_orig_decisions_1970_1974/decisions_1971.json: 48 original approvals; 7 TYPE 1/1-4 applications; payload SHA-256 verified against the runner manifest). Official counts from data/fda_official_year_series.csv (12 NMEs, 26 NDAs approved), re-read live from the FDA history page 2026-09-19 (V21-C08). Live probes and population re-queries in data/raw/pre1980_row_probes_1965_1976/ and data/raw/pre1980_year_populations_1965_1976/."
1972,7,10,7,-3,7,4,3,0,The Orphan Drug Act had not yet been enacted; no orphan-law framework applied to these approvals.,Pre-Orphan Drug Act federal NDA framework; the 1962 Kefauver-Harris amendments governed efficacy and safety review.,"Desonide, Fluorine F-18, Tranxene, Ethrane, Miostat, Marcaine hydrochloride, Pavulon",7 TYPE 1 originals among 29 ORIG/AP applications. Official series: 10 NMEs (57 NDAs approved). Marcaine NDA016964 alone publishes 10 products under four brand strings.,"openFDA Drugs@FDA ORIG/AP enumeration 1972 (data/raw/openfda_orig_decisions_1970_1974/decisions_1972.json: 29 original approvals; 7 TYPE 1/1-4 applications; payload SHA-256 verified against the runner manifest). Official counts from data/fda_official_year_series.csv (10 NMEs, 57 NDAs approved), re-read live from the FDA history page 2026-09-19 (V21-C08). Live probes and population re-queries in data/raw/pre1980_row_probes_1965_1976/ and data/raw/pre1980_year_populations_1965_1976/."
1973,11,14,11,-3,11,6,4,1,The Orphan Drug Act had not yet been enacted; no orphan-law framework applied to these approvals.,Pre-Orphan Drug Act federal NDA framework; the 1962 Kefauver-Harris amendments governed efficacy and safety review.,"Hyperstat, Sethotope, Cholebrine, Sanorex, Septra, Alupent, Blenoxane, Osteoscan, Miochol, Zaroxolyn, Ferrous citrate Fe 59","10 TYPE 1 plus 1 TYPE 1/4 originals among 43 ORIG/AP applications. Official series: 14 NMEs (50 NDAs approved). Carries the Septra combination row; the same-day Catapres (TYPE 3, NDA017407) / Combipres (TYPE 1/4, NDA017503) pairing of 1974-09-03 is adjudicated in the 1974 rows.","openFDA Drugs@FDA ORIG/AP enumeration 1973 (data/raw/openfda_orig_decisions_1970_1974/decisions_1973.json: 43 original approvals; 11 TYPE 1/1-4 applications; payload SHA-256 verified against the runner manifest). Official counts from data/fda_official_year_series.csv (14 NMEs, 50 NDAs approved), re-read live from the FDA history page 2026-09-19 (V21-C08). Live probes and population re-queries in data/raw/pre1980_row_probes_1965_1976/ and data/raw/pre1980_year_populations_1965_1976/."
1974,16,21,16,-5,16,10,6,0,The Orphan Drug Act had not yet been enacted; no orphan-law framework applied to these approvals.,Pre-Orphan Drug Act federal NDA framework; the 1962 Kefauver-Harris amendments governed efficacy and safety review.,"Dantrium, Moban, Amoxil, Monistat 7, Intropin, Emete-Con, Bricanyl, Nipride, Vermox, Pre-Pen, Peptavlon, Doxorubicin hydrochloride, Combipres, Motrin, Perchloracap, Halog","15 TYPE 1 plus 1 TYPE 1/4 originals among 73 ORIG/AP applications - the largest pre-1980 enumeration. Official series: 21 NMEs (85 NDAs approved). Includes amoxicillin (Amoxil), doxorubicin, ibuprofen (Motrin) and the Pre-Pen biologics-licence-numbered TYPE 1 application.","openFDA Drugs@FDA ORIG/AP enumeration 1974 (data/raw/openfda_orig_decisions_1970_1974/decisions_1974.json: 73 original approvals; 16 TYPE 1/1-4 applications; payload SHA-256 verified against the runner manifest). Official counts from data/fda_official_year_series.csv (21 NMEs, 85 NDAs approved), re-read live from the FDA history page 2026-09-19 (V21-C08). Live probes and population re-queries in data/raw/pre1980_row_probes_1965_1976/ and data/raw/pre1980_year_populations_1965_1976/."
