decision_id,year,application_number,drug_brand,drug_generic,company_name,corporate_lineage_and_ticker,decision_type,decision_date,chemical_type_code,chemical_type_description,review_priority,indication,regulatory_milestone,source_url_1,source_url_2,verification_status,notes
PRE1980-1977-01,1977,NDA 017535,Lorelco,probucol,SANOFI AVENTIS US (Drugs@FDA holder of record; approval-era applicant lineage not pinned),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1977-02-01,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Lorelco (probucol) tablet (oral) product; ORIG-1 approval 1977-02-01; Type 1 - New Molecular Entity; PRIORITY review; current marketing status Discontinued.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017535,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017535%22,Verified,"v19 2026-09-19 added from the committed openFDA Drugs@FDA payloads (dual-run byte-identical raw responses; run-18 vs run-19 raw_sha256 agree; payload SHA verified against the run-19 manifest). Payload: ORIG/AP 1977-02-01, TYPE 1, PRIORITY, holder SANOFI AVENTIS US, product LORELCO (PROBUCOL 250MG; TABLET; Discontinued); LORELCO (PROBUCOL 500MG; TABLET; Discontinued). Ingredient screen: first-in-payloads (1965-1979 screen). No live single-record probe was issued for this row in v19; it rests on the dual-run payload extraction and is re-verifiable at the two source URLs. No ticker or indication asserted."
PRE1980-1977-02,1977,NDA 017661,Tavist-1,clemastine fumarate,NOVARTIS (Drugs@FDA holder of record; approval-era applicant lineage not pinned),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1977-02-25,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Tavist-1 (clemastine fumarate) tablet (oral) product; ORIG-1 approval 1977-02-25; Type 1 - New Molecular Entity; STANDARD review; current marketing status Discontinued.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017661,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017661%22,Verified,"v19 2026-09-19 added from the committed openFDA Drugs@FDA payloads (dual-run byte-identical raw responses; run-18 vs run-19 raw_sha256 agree; payload SHA verified against the run-19 manifest). Payload: ORIG/AP 1977-02-25, TYPE 1, STANDARD, holder NOVARTIS, product TAVIST-1 (CLEMASTINE FUMARATE 1.34MG; TABLET; Discontinued); TAVIST-1 (CLEMASTINE FUMARATE 1.34MG; TABLET; Discontinued); TAVIST (CLEMASTINE FUMARATE 2.68MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**; TABLET; Discontinued). Ingredient screen: first-in-payloads (1965-1979 screen). No live single-record probe was issued for this row in v19; it rests on the dual-run payload extraction and is re-verifiable at the two source URLs. No ticker or indication asserted."
PRE1980-1977-03,1977,NDA 017856,Topicort,desoximetasone,TARO (Drugs@FDA holder of record; approval-era applicant lineage not pinned),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1977-02-28,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Topicort (desoximetasone) cream (topical) product; ORIG-1 approval 1977-02-28; Type 1 - New Molecular Entity; STANDARD review; current marketing status Discontinued.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017856,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017856%22,Verified,"v19 2026-09-19 added from the committed openFDA Drugs@FDA payloads (dual-run byte-identical raw responses; run-18 vs run-19 raw_sha256 agree; payload SHA verified against the run-19 manifest). Payload: ORIG/AP 1977-02-28, TYPE 1, STANDARD, holder TARO, product TOPICORT (DESOXIMETASONE 0.25% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**; CREAM; Discontinued). Ingredient screen: first-in-payloads (1965-1979 screen). No live single-record probe was issued for this row in v19; it rests on the dual-run payload extraction and is re-verifiable at the two source URLs. No ticker or indication asserted."
PRE1980-1977-04,1977,NDA 017422,Bicnu,carmustine,AVET LIFESCIENCES (Drugs@FDA holder of record; approval-era applicant lineage not pinned),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1977-03-07,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Bicnu (carmustine) injectable (injection) product; ORIG-1 approval 1977-03-07; Type 1 - New Molecular Entity; STANDARD review; current marketing status Prescription.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017422,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017422%22,Verified,"v19 2026-09-19 added from the committed openFDA Drugs@FDA payloads (dual-run byte-identical raw responses; run-18 vs run-19 raw_sha256 agree; payload SHA verified against the run-19 manifest). Payload: ORIG/AP 1977-03-07, TYPE 1, STANDARD, holder AVET LIFESCIENCES, product BICNU (CARMUSTINE 100MG/VIAL; INJECTABLE; Prescription). Ingredient screen: first-in-payloads (1965-1979 screen). No live single-record probe was issued for this row in v19; it rests on the dual-run payload extraction and is re-verifiable at the two source URLs. No ticker or indication asserted."
PRE1980-1977-05,1977,NDA 017601,Optimine,azatadine maleate,SCHERING (Drugs@FDA holder of record; approval-era applicant lineage not pinned),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1977-03-29,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Optimine (azatadine maleate) tablet (oral) product; ORIG-1 approval 1977-03-29; Type 1 - New Molecular Entity; STANDARD review; current marketing status Discontinued.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017601,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017601%22,Verified,"v19 2026-09-19 added from the committed openFDA Drugs@FDA payloads (dual-run byte-identical raw responses; run-18 vs run-19 raw_sha256 agree; payload SHA verified against the run-19 manifest). Payload: ORIG/AP 1977-03-29, TYPE 1, STANDARD, holder SCHERING, product OPTIMINE (AZATADINE MALEATE 1MG; TABLET; Discontinued). Ingredient screen: first-in-payloads (1965-1979 screen). No live single-record probe was issued for this row in v19; it rests on the dual-run payload extraction and is re-verifiable at the two source URLs. No ticker or indication asserted."
PRE1980-1977-06,1977,NDA 017563,Colestid,colestipol hydrochloride,PFIZER (Drugs@FDA holder of record; approval-era applicant lineage not pinned),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1977-04-04,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Colestid (colestipol hydrochloride) granule (oral) product; ORIG-1 approval 1977-04-04; Type 1 - New Molecular Entity; PRIORITY review; current marketing status Prescription.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017563,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017563%22,Verified,"v19 2026-09-19 added from the committed openFDA Drugs@FDA payloads (dual-run byte-identical raw responses; run-18 vs run-19 raw_sha256 agree; payload SHA verified against the run-19 manifest). Payload: ORIG/AP 1977-04-04, TYPE 1, PRIORITY, holder PFIZER, product COLESTID (COLESTIPOL HYDROCHLORIDE 5GM/PACKET; GRANULE; Prescription); FLAVORED COLESTID (COLESTIPOL HYDROCHLORIDE 5GM/SCOOPFUL; GRANULE; Discontinued); COLESTID (COLESTIPOL HYDROCHLORIDE 5GM/SCOOPFUL; GRANULE; Prescription); FLAVORED COLESTID (COLESTIPOL HYDROCHLORIDE 5GM/PACKET; GRANULE; Discontinued). Ingredient screen: first-in-payloads (1965-1979 screen). No live single-record probe was issued for this row in v19; it rests on the dual-run payload extraction and is re-verifiable at the two source URLs. No ticker or indication asserted."
PRE1980-1977-07,1977,NDA 017920,Tagamet,cimetidine,GLAXOSMITHKLINE (Drugs@FDA holder of record; approval-era applicant lineage not pinned),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1977-08-16,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Tagamet (cimetidine) tablet (oral) product; ORIG-1 approval 1977-08-16; Type 1 - New Molecular Entity; PRIORITY review; current marketing status Discontinued.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017920,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017920%22,Verified,"v19 2026-09-19 added from the committed openFDA Drugs@FDA payloads (dual-run byte-identical raw responses; run-18 vs run-19 raw_sha256 agree; payload SHA verified against the run-19 manifest). Payload: ORIG/AP 1977-08-16, TYPE 1, PRIORITY, holder GLAXOSMITHKLINE, product TAGAMET (CIMETIDINE 400MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**; TABLET; Discontinued); TAGAMET (CIMETIDINE 200MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**; TABLET; Discontinued); TAGAMET (CIMETIDINE 800MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**; TABLET; Discontinued); TAGAMET (CIMETIDINE 300MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**; TABLET; Discontinued). Ingredient screen: first-in-payloads (1965-1979 screen). Live 2026-09-19: openFDA ORIG/AP/exact-date coexistence total=1 (V19-C04) and Drugs@FDA page row '08/16/1977 | ORIG-1 | Approval | Type 1 - New Molecular Entity | PRIORITY' (V19-C10). No ticker or indication asserted."
PRE1980-1977-08,1977,NDA 017765,Cloderm,clocortolone pivalate,LEGACY (Drugs@FDA holder of record; approval-era applicant lineage not pinned),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1977-08-22,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Cloderm (clocortolone pivalate) cream (topical) product; ORIG-1 approval 1977-08-22; Type 1 - New Molecular Entity; STANDARD review; current marketing status Prescription.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017765,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017765%22,Verified,"v19 2026-09-19 added from the committed openFDA Drugs@FDA payloads (dual-run byte-identical raw responses; run-18 vs run-19 raw_sha256 agree; payload SHA verified against the run-19 manifest). Payload: ORIG/AP 1977-08-22, TYPE 1, STANDARD, holder LEGACY, product CLODERM (CLOCORTOLONE PIVALATE 0.1%; CREAM; Prescription). Ingredient screen: first-in-payloads (1965-1979 screen). No live single-record probe was issued for this row in v19; it rests on the dual-run payload extraction and is re-verifiable at the two source URLs. No ticker or indication asserted."
PRE1980-1977-09,1977,NDA 017810,Prostin E2,dinoprostone,PFIZER (Drugs@FDA holder of record; approval-era applicant lineage not pinned),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1977-08-23,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Prostin E2 (dinoprostone) suppository (vaginal) product; ORIG-1 approval 1977-08-23; Type 1 - New Molecular Entity; PRIORITY review; current marketing status Discontinued.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017810,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017810%22,Verified,"v19 2026-09-19 added from the committed openFDA Drugs@FDA payloads (dual-run byte-identical raw responses; run-18 vs run-19 raw_sha256 agree; payload SHA verified against the run-19 manifest). Payload: ORIG/AP 1977-08-23, TYPE 1, PRIORITY, holder PFIZER, product PROSTIN E2 (DINOPROSTONE 20MG; SUPPOSITORY; Discontinued). Ingredient screen: first-in-payloads (1965-1979 screen). No live single-record probe was issued for this row in v19; it rests on the dual-run payload extraction and is re-verifiable at the two source URLs. No ticker or indication asserted."
PRE1980-1977-10,1977,NDA 017821,Flexeril,cyclobenzaprine hydrochloride,JANSSEN RES AND DEV (Drugs@FDA holder of record; approval-era applicant lineage not pinned),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1977-08-26,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Flexeril (cyclobenzaprine hydrochloride) tablet (oral) product; ORIG-1 approval 1977-08-26; Type 1 - New Molecular Entity; PRIORITY review; current marketing status Discontinued.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017821,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017821%22,Verified,"v19 2026-09-19 added from the committed openFDA Drugs@FDA payloads (dual-run byte-identical raw responses; run-18 vs run-19 raw_sha256 agree; payload SHA verified against the run-19 manifest). Payload: ORIG/AP 1977-08-26, TYPE 1, PRIORITY, holder JANSSEN RES AND DEV, product FLEXERIL (CYCLOBENZAPRINE HYDROCHLORIDE 5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**; TABLET; Discontinued); FLEXERIL (CYCLOBENZAPRINE HYDROCHLORIDE 10MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**; TABLET; Discontinued). Ingredient screen: first-in-payloads (1965-1979 screen). No live single-record probe was issued for this row in v19; it rests on the dual-run payload extraction and is re-verifiable at the two source URLs. No ticker or indication asserted."
