row_id,year,application_number,application_kind,decision_date,submission_class_code,submission_class_code_description,review_priority,nme_comparable,classification_group,sponsor_name_drugsatfda_holder,first_product_brand,first_product_ingredients,first_product_form_route,n_products,first_product_marketing_status,ingredient_first_appearance,ingredient_screen,tracked_in,live_probe_status,drugsatfda_url,openfda_url,verification_status,notes
PRE1980AUDIT-1965-01,1965,NDA014006,NDA,1965-01-07,TYPE 3,Type 3 - New Dosage Form,STANDARD,FALSE,Type 3 - New Dosage Form,ORGANON USA INC,MAXIBOLIN,ETHYLESTRENOL 2MG/5ML,ELIXIR; ORAL,1,Discontinued,ETHYLESTRENOL first 1964-05-28 on NDA014005,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=014006,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA014006%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-02,1965,NDA015193,NDA,1965-01-25,TYPE 3,Type 3 - New Dosage Form,STANDARD,FALSE,Type 3 - New Dosage Form,BAUSCH,MESTINON,PYRIDOSTIGMINE BROMIDE 60MG/5ML,SYRUP; ORAL,1,Prescription,PYRIDOSTIGMINE BROMIDE first 1955-04-06 on NDA009829,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=015193,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA015193%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-03,1965,NDA014901,NDA,1965-02-01,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,FALSE,Type 5 - New Formulation or New Manufacturer,APOTHECON,KENALOG-40,TRIAMCINOLONE ACETONIDE 40MG/ML,INJECTABLE; INJECTION,2,Prescription,TRIAMCINOLONE ACETONIDE first 1958-10-23 on NDA011601,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=014901,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA014901%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-04,1965,NDA014602,NDA,1965-03-03,TYPE 1,Type 1 - New Molecular Entity,STANDARD,TRUE,NME (Type 1),ORGANON,Celestone Soluspan,BETAMETHASONE ACETATE 3MG/ML; BETAMETHASONE SODIUM PHOSPHATE EQ 3MG BASE/ML,INJECTABLE; INJECTION,1,Prescription,first-in-payloads (1939-1979 universe),first appearance in the 1939-1979 payload universe,PRE1980-1965-01,MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=014602,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA014602%22,Verified (live probe match),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-05,1965,NDA050207,NDA,1965-04-02,UNKNOWN,,UNKNOWN,FALSE,NOT PUBLISHED (blank class),CARNEGIE,ERYPED,ERYTHROMYCIN ETHYLSUCCINATE EQ 200MG BASE/5ML,GRANULE; ORAL,3,Prescription,first-in-payloads (1939-1979 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050207,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA050207%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-06,1965,NDA016008,NDA,1965-04-07,TYPE 3,Type 3 - New Dosage Form,STANDARD,FALSE,Type 3 - New Dosage Form,SCHERING,PERMITIL,FLUPHENAZINE HYDROCHLORIDE 5MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CONCENTRATE; ORAL,1,Discontinued,FLUPHENAZINE HYDROCHLORIDE first 1959-09-09 on NDA012034,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=016008,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016008%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-07,1965,NDA014394,NDA,1965-04-20,TYPE 3,Type 3 - New Dosage Form,STANDARD,FALSE,Type 3 - New Dosage Form,ASTRAZENECA,XYLOCAINE,LIDOCAINE 10%,AEROSOL; ORAL,1,Discontinued,LIDOCAINE first 1951-05-17 on NDA008048,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=014394,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA014394%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-08,1965,NDA013026,NDA,1965-04-30,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,TRUE,NME (Type 1),WYETH PHARMS,Trecator,ETHIONAMIDE 250MG,TABLET; ORAL,1,Discontinued,first-in-payloads (1939-1979 universe),first appearance in the 1939-1979 payload universe,PRE1980-1965-02,MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=013026,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA013026%22,Verified (live probe match),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-09,1965,BLA101995,BLA,1965-06-04,TYPE 1,Type 1 - New Molecular Entity,UNKNOWN,TRUE,NME (Type 1),SMITH AND NEPHEW,Santyl,COLLAGENASE 250U/GRAM,OINTMENT; TOPICAL,1,Prescription,first-in-payloads (1939-1979 universe),first appearance in the 1939-1979 payload universe,PRE1980-1965-03,MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=101995,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22BLA101995%22,Verified (live probe match),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-10,1965,NDA015539,NDA,1965-06-04,TYPE 1,Type 1 - New Molecular Entity,STANDARD,TRUE,NME (Type 1),ALPHARMA US PHARMS,Serax,OXAZEPAM 15MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,TABLET; ORAL,4,Discontinued,first-in-payloads (1939-1979 universe),first appearance in the 1939-1979 payload universe,PRE1980-1965-04,MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=015539,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA015539%22,Verified (live probe match),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
