row_id,application_number,probe_file,probe_url,probe_sha256,live_orig_date,live_class_code,live_review_priority,live_sponsor,status,checked_against_payload
PRE1980AUDIT-1977-01,NDA017535,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-02,NDA017781,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-03,NDA017413,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-04,NDA017661,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-05,NDA017856,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-06,NDA017422,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-07,NDA017688,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-08,NDA017601,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-09,NDA017667,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-10,NDA017563,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-11,NDA017799,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-12,NDA017830,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-13,NDA017823,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-14,NDA017956,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-15,NDA017710,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-16,NDA017818,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-17,NDA017824,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-18,NDA017919,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-19,NDA017446,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-20,NDA018012,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-21,NDA018013,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-22,NDA017920,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-23,NDA017924,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-24,NDA017939,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-25,NDA017765,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-26,NDA017810,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1977-27,NDA017821,,,,,,,,PROBE_PENDING,probe capture pending
