row_id,application_number,probe_file,probe_url,probe_sha256,live_orig_date,live_class_code,live_review_priority,live_sponsor,status,checked_against_payload
PRE1980AUDIT-1965-04,NDA014602,probe_NDA014602.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA014602%22&limit=1000,4d508334e0550fc83eb1adfb715981d6e7cc0a35e40a10d8e1864137dffcc454,19650303,TYPE 1,STANDARD,ORGANON,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1965-08,NDA013026,probe_NDA013026.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA013026%22&limit=1000,8439f5b5fa79fa3ad636dc1d4df4469d65b9611a852a34586501941a5a4f6675,19650430,TYPE 1,PRIORITY,WYETH PHARMS,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1965-09,BLA101995,probe_BLA101995.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22BLA101995%22&limit=1000,06b5a4dc3807d750b230167c64d62bef4f0885ddc7999139b6ca5eae37b5c5af,19650604,TYPE 1,UNKNOWN,SMITH AND NEPHEW,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1965-10,NDA015539,probe_NDA015539.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA015539%22&limit=1000,35ad18ca287f089d01243c5341e26c0945b0d85f9e15e40c66fa9f5d40651f06,19650604,TYPE 1,STANDARD,ALPHARMA US PHARMS,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1965-12,NDA016059,probe_NDA016059.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016059%22&limit=1000,47518912603c56bb612c0a702d40b10744acff2e06d1d93cf6641abfa88c1601,19650610,TYPE 1,PRIORITY,ZYLA LIFE SCIENCES,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1965-15,NDA014879,probe_NDA014879.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA014879%22&limit=1000,af157eda683233e0a58a71f0d76a5c65858e418bddda941867dcf6faf3be49af,19650623,TYPE 1,STANDARD,HIKMA,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1965-21,NDA012715,probe_NDA012715.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA012715%22&limit=1000,7f36e5a9c1e70f74927421ecb3576f6280293bcf4ae8d94c35c09a0798cc628a,19650825,TYPE 1,STANDARD,ROCHE,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1965-25,NDA012806,probe_NDA012806.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA012806%22&limit=1000,b3a38ab07b75fd11a377f0220a91db47b487c9f510d66c43fe651eab4d12675a,19651018,TYPE 1,STANDARD,INA PHARMS,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1965-26,NDA014763,probe_NDA014763.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA014763%22&limit=1000,fd8aa3b79f247bd9b448c7ab80fb813ec5390f1fdc5ee85b0476d23cb57969b9,19651118,TYPE 1,PRIORITY,ASTRAZENECA,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1965-29,NDA012665,probe_NDA012665.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA012665%22&limit=1000,1535649b5408439572a73b93159b69b7504eda0da8c9966d93e14cdff6a73e01,19651125,TYPE 1,PRIORITY,LILLY,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1965-31,NDA013025,probe_NDA013025.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA013025%22&limit=1000,558d7333d0bf0cff17e86f7c46a432719376cb04b92d98137af950bf7abf1515,19651216,TYPE 1/4,PRIORITY,HOSPIRA,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1966-02,NDA012429,probe_NDA012429.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA012429%22&limit=1000,692b297fcd5b445c2245ba93dcc2dae1b9d0084ad4d72b7076894004aa98f897,19660118,TYPE 1,PRIORITY,WAYLIS THERAP,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1966-04,NDA016029,probe_NDA016029.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016029%22&limit=1000,7fdb08379bc328094b3cd2bbe7ec48723d33d5cea12236e725e4d53b9057061f,19660323,TYPE 1/4,STANDARD,GD SEARLE LLC,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1966-05,NDA016000,probe_NDA016000.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016000%22&limit=1000,a75850f01597bc2d9a5d3fe936cbda9124f12a734f0856958b52483980a2bf5a,19660701,TYPE 1,STANDARD,BAYER HLTHCARE,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1966-06,NDA016245,probe_NDA016245.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016245%22&limit=1000,b4cf2c7619ef84824f88fddb9edee9b237478965f4c5de8712c0d1891440ba5f,19660701,TYPE 1,PRIORITY,ABBOTT,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1966-07,NDA016273,probe_NDA016273.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016273%22&limit=1000,d4280b3540d46f978ee63337583798973c6a9775c69fd1fe28c866bc1ca6ca99,19660701,TYPE 1,PRIORITY,VALIDUS PHARMS,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1966-08,NDA015500,probe_NDA015500.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA015500%22&limit=1000,155f73d4bfc9dcb49f9586ce3a15f15b71375cb6678c00a4bda207077f164324,19660718,TYPE 1,PRIORITY,PHARMACIA AND UPJOHN,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1966-10,NDA016084,probe_NDA016084.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016084%22&limit=1000,f380f164898bf83bfa617e3f50913c2e3506eacfa3649006e0b90472622bf1c8,19660819,TYPE 1,PRIORITY,CASPER PHARMA LLC,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1967-01,NDA016092,probe_NDA016092.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016092%22&limit=1000,c3e4dfd96c7e9798778b11c63c6b004b7ea590763d3def345767e0fa7473fe04,19670110,TYPE 1,STANDARD,BAUSCH,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1967-04,NDA016131,probe_NDA016131.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016131%22&limit=1000,dae20055e0fc927f4296d072f29e7fec837ecec198adb5e74aa965931d6ee1f2,19670201,TYPE 1,PRIORITY,SANOFI AVENTIS US,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1967-05,NDA016099,probe_NDA016099.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016099%22&limit=1000,79813bf7020f9e84acb76cfdc3369bdfed74fbc18b20acfa6e72313c281b324c,19670208,TYPE 1,PRIORITY,WYETH AYERST,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1967-07,NDA015034,probe_NDA015034.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA015034%22&limit=1000,7b2c671f56d57c5c977845ebae649833e3781d7d7fe9010f4e9a0aa96761b320,19670328,TYPE 1,STANDARD,AVION PHARMS,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1967-08,NDA016033,probe_NDA016033.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016033%22&limit=1000,0b306b0b2023fdbf792714f0051c35a6ec25861441c6f2132b4264526d7c78e8,19670405,TYPE 1,STANDARD,GLAXOSMITHKLINE,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1967-09,NDA016096,probe_NDA016096.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016096%22&limit=1000,b6e0711870fb1e0a7946d618a03f1f0fe9eed73f4a988444b4c849938551861a,19670407,TYPE 1,PRIORITY,MERCK SHARP DOHME,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1967-10,NDA015921,probe_NDA015921.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA015921%22&limit=1000,b3a383c88b9420a2cad77f0743706d3666d635fdc571d3ebc095ea8aae273bc4,19670412,TYPE 1,PRIORITY,ORTHO MCNEIL,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1967-17,NDA016194,probe_NDA016194.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016194%22&limit=1000,d65d586ec8e506ff5ed652b48e55386d3d9931d85b87d307244c414d5e834735,19670724,TYPE 1,PRIORITY,HOSPIRA,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1967-18,NDA016584,probe_NDA016584.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016584%22&limit=1000,1c81a06e6c998361b92fc728ab7bea442ca9316604acde4fb596052194ce0448,19670724,TYPE 1,STANDARD,PFIZER,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1967-22,NDA016012,probe_NDA016012.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016012%22&limit=1000,16cdc3cfd65eb2ba221bc494f8745fface9f168caa51509bad1a1dbbac9aeda5,19670927,TYPE 1,STANDARD,TEVA WOMENS,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1967-24,NDA016320,probe_NDA016320.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016320%22&limit=1000,befb5dff11550b59cb47e1d7bb4f27ae729838bb9e0d97ab30be7e5333327fde,19671106,TYPE 1,PRIORITY,KANCHAN HLTHCARE,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1967-26,NDA016418,probe_NDA016418.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016418%22&limit=1000,b5ae0d7f985ca813fd49df5ff617bdd7d18bb9a813c814e207cc9dce68b36d43,19671113,TYPE 1,PRIORITY,WYETH PHARMS,MATCH,date+class+priority+holder all equal
