year,master_approvals,priority,standard,with_accelerated_token,distinct_companies,us_listed_class,formerly_us_class,non_us_class,private_class,priced_events,full_brackets,median_pct_on_decision,mean_pct_on_decision,biggest_gainer,biggest_gainer_pct,biggest_loser,biggest_loser_pct,winners_gt_10pct,losers_lt_10pct,audit_rows,audit_all_layers,audit_flagged
1985,31,18,13,0,25,13,9,6,3,11,11,0.57,0.41,GSK,1.48,GSK,-0.80,0,0,,,
1986,23,14,9,0,16,14,5,3,1,10,10,-0.41,-0.04,MRK,3.39,JNJ,-2.21,0,0,,,
1987,22,9,13,0,20,11,4,4,3,9,9,0.00,0.20,LLY,2.79,JNJ,-2.44,0,0,,,
1988,20,10,10,0,17,7,4,8,1,7,7,-1.28,-0.38,JNJ,1.33,BMY,-1.36,0,0,,,
1989,27,10,17,0,23,8,9,9,1,8,8,0.48,0.48,AMGN,2.19,BMY,-1.32,0,0,,,
1990,24,13,11,0,21,10,8,5,1,9,9,-0.57,-0.43,PFE,2.76,GSK,-3.63,0,0,,,
1991,32,16,16,0,24,19,7,6,0,17,17,1.44,1.18,PFE,4.89,GSK,-2.22,0,0,,,
1992,29,11,18,1,23,14,7,6,2,13,13,0.41,0.40,GSK,5.06,GSK,-2.20,0,0,,,
1993,27,15,12,1,24,8,12,6,1,7,7,0.28,0.03,JNJ,2.10,JNJ,-2.33,0,0,,,
1994,23,13,10,1,21,10,6,4,3,9,9,-0.91,-0.69,GSK,1.49,GSK,-3.14,0,0,,,
1995,30,11,19,4,27,14,7,8,1,12,12,-0.57,-0.20,AZN,0.88,PFE,-1.36,0,0,,,
1996,59,21,38,6,45,22,16,12,9,19,19,0.00,-0.12,ABT,2.13,GILD,-3.15,0,0,59,59,3
1997,43,11,32,2,34,21,14,5,3,13,13,-0.78,-0.03,AZN,2.27,NVS,-2.03,0,0,43,43,6
1998,36,21,15,5,31,15,16,2,3,11,11,1.00,0.26,ABT,3.99,IONS,-6.92,0,0,36,36,1
1999,37,20,17,3,28,13,9,12,3,13,13,0.00,0.77,LGND,14.61,ABT,-5.70,1,0,37,37,3
2000,29,9,20,2,26,9,11,3,6,7,7,0.75,1.67,ABT,9.09,NVS,-0.71,0,0,29,29,1
