decision_id,decision_date,drug_brand,drug_generic,legacy_sponsor_verbatim,lineage_recorded_in_master,master_ticker,master_exchange,us_investable_class,application_number,status,action_for_reviewer,sec_edgar_company_search,drugsatfda_link,fda_year_enumeration,priority
D1330,1996-06-05,Xalatan,latanoprost,The Upjohn Co. (merged into Pharmacia & Upjohn Nov-1995),merged into Pharmacia & Upjohn Nov-1995,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020597,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=The%20Upjohn%20Co.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020597,https://www.fda.gov/media/177921/download?attachment,high
D1332,1996-06-14,Camptosar,irinotecan hydrochloride,The Upjohn Co. (merged into Pharmacia & Upjohn Nov-1995),merged into Pharmacia & Upjohn Nov-1995,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020571,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=The%20Upjohn%20Co.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020571,https://www.fda.gov/media/177921/download?attachment,high
D1338,1996-06-28,CEA-Scan,arcitumomab,Immunomedics Inc. (acquired by Gilead 2020),acquired by Gilead 2020,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),103425,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Immunomedics%20Inc.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=103425,https://www.fda.gov/media/177921/download?attachment,high
D1342,1996-08-05,Cerebyx,fosphenytoin sodium,Parke-Davis (Warner-Lambert Co. division; Pfizer Jun-2000),Warner-Lambert Co. division; Pfizer Jun-2000,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020450,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Parke-Davis&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020450,https://www.fda.gov/media/177921/download?attachment,high
D1345,1996-08-30,Feridex,ferumoxides,Advanced Magnetics Inc. (renamed AMAG Pharmaceuticals),renamed AMAG Pharmaceuticals,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020416,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Advanced%20Magnetics%20Inc.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020416,https://www.fda.gov/media/177921/download?attachment,high
D1347,1996-09-06,ProAmatine,midodrine hydrochloride,Roberts Pharmaceutical Corp. (acquired by Shire 1999),acquired by Shire 1999,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),019815,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Roberts%20Pharmaceutical%20Corp.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019815,https://www.fda.gov/media/177921/download?attachment,high
D1353,1996-09-26,Elmiron,pentosan polysulfate sodium,Baker Norton Pharmaceuticals (IVAX unit; Teva 2006),IVAX unit; Teva 2006,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020193,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Baker%20Norton%20Pharmaceuticals&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020193,https://www.fda.gov/media/177921/download?attachment,high
D1357,1996-10-28,ProstaScint,capromab pendetide,Cytogen Corp. (delisted; assets wound down post-2000),delisted; assets wound down post-2000,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),103608,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Cytogen%20Corp.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=103608,https://www.fda.gov/media/177921/download?attachment,high
D1359,1996-11-01,Astelin,azelastine hydrochloride,Wallace Laboratories (Carter-Wallace; MedPointe 2001),Carter-Wallace; MedPointe 2001,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020114,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Wallace%20Laboratories&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020114,https://www.fda.gov/media/177921/download?attachment,high
D1362,1996-11-27,Zanaflex,tizanidine hydrochloride,Athena Neuroscience (acquired by Elan 1996),acquired by Elan 1996,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020397,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Athena%20Neuroscience&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020397,https://www.fda.gov/media/177921/download?attachment,high
D1363,1996-12-06,Gastromark,ferumoxsil,Advanced Magnetics Inc. (renamed AMAG Pharmaceuticals),renamed AMAG Pharmaceuticals,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020410,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Advanced%20Magnetics%20Inc.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020410,https://www.fda.gov/media/177921/download?attachment,high
D1365,1996-12-17,Aphthasol,amlexanox,Block Drug Co. (acquired by GSK 2001),acquired by GSK 2001,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020511,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Block%20Drug%20Co.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020511,https://www.fda.gov/media/177921/download?attachment,high
D1366,1996-12-17,Lipitor,atorvastatin calcium,Parke-Davis (Warner-Lambert Co. division; Pfizer Jun-2000),Warner-Lambert Co. division; Pfizer Jun-2000,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020702,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Parke-Davis&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020702,https://www.fda.gov/media/177921/download?attachment,high
D1373,1996-12-23,Dostinex,cabergoline,The Upjohn Co. (merged into Pharmacia & Upjohn Nov-1995),merged into Pharmacia & Upjohn Nov-1995,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020664,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=The%20Upjohn%20Co.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020664,https://www.fda.gov/media/177921/download?attachment,high
