audit_year,decision_id,drug_brand,drug_generic,company_name,master_decision_date,application_number,l1_year_table,l1_table_date,l1_table_class,l2_compilation_match,l2_compilation_date,l2_review_designation,l2_accelerated_approval,l3_openfda_match,l3_orig_date,l3_sponsor,l3_brand,l3_submission_class,l3_review_priority,date_agreement,verdict,live_check,review_flag,source_year_table_or_compilation,source_drugsatfda,source_openfda
2000,D635,Evoxac,Cevimeline Hydrochloride,Snow Brand Pharmaceuticals (Japan lineage; current holder Cosette Pharmaceuticals),2000-01-11,N020989,MATCH,2000-01-11,S,application_number,2000-01-11,Standard,No,MATCH,2000-01-11,COSETTE,EVOXAC,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020989,https://api.fda.gov/drug/drugsfda.json?search=application_number:N020989
2000,D636,Trileptal,Oxcarbazepine,Novartis AG,2000-01-14,N021014,MATCH,2000-01-14,S,application_number,2000-01-14,Standard,No,MATCH,2000-01-14,NOVARTIS,TRILEPTAL,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,MATCH (2026-09-18T02:00:00Z; https://api.fda.gov/drug/drugsfda.json?search=application_number:NDA021014),,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021014,https://api.fda.gov/drug/drugsfda.json?search=application_number:N021014
2000,D637,Protonix,Pantoprazole Sodium,Wyeth (acquired by Pfizer 2009),2000-02-02,N020987,MATCH,2000-02-02,S,application_number,2000-02-02,Standard,No,MATCH,2000-02-02,WYETH PHARMS,PROTONIX,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020987,https://api.fda.gov/drug/drugsfda.json?search=application_number:N020987
2000,D638,Lotronex,Alosetron Hydrochloride,GlaxoSmithKline plc,2000-02-09,N021107,MATCH,2000-02-09,P,application_number,2000-02-09,Priority,No,MATCH,2000-02-09,LEGACY,LOTRONEX,TYPE 1,PRIORITY,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021107,https://api.fda.gov/drug/drugsfda.json?search=application_number:N021107
2000,D639,Skin Exposure Reduction Paste Against Chemical Warfare Agents,Perfluoro-polymethyl-isopropyl Ether; Polytetrafluoro-ethylene,U.S. Army Medical Research (government),2000-02-17,N021084,MATCH,2000-02-17,P,application_number,2000-02-17,Priority,No,MATCH,2000-02-17,US ARMY MED RES,SKIN EXPOSURE REDUCTION PASTE AGAINST CHEMICAL WARFARE AGENTS,TYPE 1/4,PRIORITY,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021084,https://api.fda.gov/drug/drugsfda.json?search=application_number:N021084
2000,D640,Zonegran,Zonisamide,Dainippon Pharmaceutical (Sumitomo Pharma lineage),2000-03-27,N020789,MATCH,2000-03-27,S,application_number,2000-03-27,Standard,No,MATCH,2000-03-27,ADVANZ PHARMA,ZONEGRAN,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020789,https://api.fda.gov/drug/drugsfda.json?search=application_number:N020789
2000,D641,Septocaine,"Articaine Hydrochloride, Epinephrine","Deproco SpA (private, Italy)",2000-04-03,N020971,MATCH,2000-04-03,S,application_number,2000-04-03,Standard,No,MATCH,2000-04-03,DEPROCO,SEPTOCAINE,TYPE 1/4,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020971,https://api.fda.gov/drug/drugsfda.json?search=application_number:N020971
2000,D642,Visudyne,Verteporfin,QLT Inc. (delisted 2012),2000-04-12,N021119,MATCH,2000-04-12,P,application_number,2000-04-12,Priority,No,MATCH,2000-04-12,BAUSCH LOMB IRELAND,VISUDYNE,TYPE 1,PRIORITY,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021119,https://api.fda.gov/drug/drugsfda.json?search=application_number:N021119
2000,D643,Mobic,Meloxicam,Boehringer Ingelheim (private),2000-04-13,N020938,MATCH,2000-04-13,S,application_number,2000-04-13,Standard,No,MATCH,2000-04-13,BOEHRINGER INGELHEIM,MOBIC,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020938,https://api.fda.gov/drug/drugsfda.json?search=application_number:N020938
2000,D644,Zyvox,Linezolid,Pharmacia (acquired by Pfizer 2003),2000-04-18,N021130,MATCH,2000-04-18,P,application_number,2000-04-18,Priority,No,MATCH,2000-04-18,PFIZER,ZYVOX,TYPE 1,PRIORITY,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021130,https://api.fda.gov/drug/drugsfda.json?search=application_number:N021130
