audit_year,master_rows,official_enumeration,verdict_VERIFIED_ALL_LAYERS,verdict_VERIFIED_TABLE_AND_COMPILATION,verdict_VERIFIED_COMPILATION_AND_OPENFDA,verdict_VERIFIED_COMPILATION_ONLY,verdict_UNRESOLVED_NEEDS_REVIEW,rows_flagged,openfda_matched,not_in_openfda
2000,29,CDER NME year table (27 rows),26,1,2,0,0,1,28,0
1999,37,CDER NME year table (37 rows),34,1,1,1,0,3,35,0
1998,36,CDER NME year table (36 rows),35,1,0,0,0,1,35,0
1997,43,CDER Novel Drug Approvals Compilation (no year table exists),37,6,0,0,0,6,37,0
1996,59,CDER Novel Drug Approvals Compilation (no year table exists),56,3,0,0,0,3,56,0
1995,30,CDER Novel Drug Approvals Compilation (no year table exists),29,1,0,0,0,1,29,1
1994,23,CDER Novel Drug Approvals Compilation (no year table exists),22,1,0,0,0,1,22,0
1993,27,CDER Novel Drug Approvals Compilation (no year table exists),27,0,0,0,0,0,27,0
1992,29,CDER Novel Drug Approvals Compilation (no year table exists),26,3,0,0,0,3,26,3
1991,32,CDER Novel Drug Approvals Compilation (no year table exists),31,1,0,0,0,1,31,1
1990,24,CDER Novel Drug Approvals Compilation (no year table exists),23,1,0,0,0,1,23,0
1989,27,CDER Novel Drug Approvals Compilation (no year table exists),23,4,0,0,0,4,23,2
1988,20,CDER Novel Drug Approvals Compilation (no year table exists),17,3,0,0,0,3,17,2
1987,22,CDER Novel Drug Approvals Compilation (no year table exists),21,1,0,0,0,1,21,0
1986,23,CDER Novel Drug Approvals Compilation (no year table exists),20,3,0,0,0,3,20,3
1985,31,CDER Novel Drug Approvals Compilation (no year table exists),27,4,0,0,0,4,27,3
