ApplNo	ApplType	ApplPublicNotes	SponsorName
000159	NDA		LILLY
000552	NDA		ASPEN GLOBAL INC
000734	NDA		LILLY
000793	NDA		PHARMOBEDIENT
001104	NDA		ORGANON USA INC
001504	NDA		THE VERARD COMPANY
001546	NDA		MERCK SHARP DOHME
002282	NDA		ISO TEX
002386	NDA		GD SEARLE LLC
002918	NDA		POYTHRESS
003444	NDA		ESJAY PHARMA
003718	NDA		ROCHE
003977	NDA		PARKEDALE
004054	NDA		LEDERLE
004122	NDA		LILLY
004570	NDA		PHARMACIA AND UPJOHN
004589	NDA		B BRAUN
004782	NDA		WYETH PHARMS
005010	NDA		QUAGEN
005151	NDA		NOVARTIS
005213	NDA		GENUS
005264	NDA		HOSPIRA
005292	NDA		SCHERING
005378	NDA		AJENAT PHARMS
005490	NDA		ORGANON USA INC
005521	NDA		LILLY
005545	NDA		ABBVIE
005619	NDA		MERCK
005657	NDA		BRISTOL MYERS SQUIBB
005794	NDA		ORTHO MCNEIL PHARM
005795	NDA		SHIRE
005845	NDA		MCNEIL CONS
005856	NDA		ABBVIE
005897	NDA		WYETH PHARMS INC
005914	NDA		NOVARTIS
005929	NDA		BAUSCH
005939	NDA		PROVEPHARM SAS
005963	NDA		SCHERING
005970	NDA		ELKINS SINN
006002	NDA		SANOFI AVENTIS US
006008	NDA		NOVARTIS
006012	NDA		LEDERLE
006035	NDA		EDISON THERAPS LLC
006071	NDA		ROCHE
006095	NDA		HOSPIRA
006110	NDA		ORTHO MCNEIL PHARM
006134	NDA		HIKMA
006135	NDA		LILLY
006146	NDA		MCNEIL CONS
006170	NDA		B BRAUN
006188	NDA		PH HEALTH
006213	NDA		LILLY
006325	NDA		LILLY
006328	NDA		SANOFI AVENTIS US
006333	NDA		CENT PHARMS
006383	NDA		MALLINCKRODT INC
006403	NDA		NOVARTIS
006412	NDA		SANOFI AVENTIS US
006459	NDA		LEDERLE
006488	NDA		FRESENIUS KABI USA
006525	NDA		ROCHE
006536	NDA		TEVA BRANDED PHARM
006620	NDA		NOVARTIS
006632	NDA		LILLY
006695	NDA		RECORDATI RARE
006772	NDA		GLAXOSMITHKLINE
006773	NDA		LEDERLE
006799	NDA		BRISTOL MYERS SQUIBB
006800	NDA		ABBVIE
006823	NDA		CASPER PHARMA LLC
006882	NDA		SANOFI AVENTIS US
006920	NDA		LEDERLE
006921	NDA		SCHERING
006927	NDA		JOURNEY
007012	NDA		BAYER HLTHCARE
007073	NDA		PFIZER
007085	NDA		WARNER CHILCOTT
007110	NDA		MERCK
007320	NDA		CONSOLIDATED MIDLAND
007335	NDA		APOTHECON
007337	NDA		ENDO OPERATIONS
007390	NDA		SHIRE
007392	NDA		LILLY
007409	NDA		ALLERGAN
007504	NDA		SANOFI AVENTIS US
007513	NDA		HOSPIRA
007517	NDA		KING PHARMS
007529	NDA		LILLY
007600	NDA		PARKEDALE
007638	NDA		BAYER HEALTHCARE LLC
007707	NDA		ABBVIE
007750	NDA		MERCK
007794	NDA		TEVA
007883	NDA		TEVA WOMENS
007898	NDA		MERCK
007935	NDA		DELCOR ASSET CORP
007936	NDA		CHATTEM
007942	NDA		FOREST LABS
007959	NDA		PAI HOLDINGS PHARM
007961	NDA		APTALIS PHARMA US
008032	NDA		GE HEALTHCARE
008048	NDA		ASTRAZENECA
008085	NDA		STRIDES PHARMA INTL
008107	NDA		HOSPIRA
008126	NDA		PHARMACIA AND UPJOHN
008173	NDA		VALEANT PHARM INTL
008228	NDA		MERCK
008248	NDA		BAXTER HLTHCARE CORP
008278	NDA		NOVARTIS
008284	NDA		PANRAY
008303	NDA		NOVARTIS
008306	NDA		ANI PHARMS
008316	NDA		SANOFI AVENTIS US
008317	NDA		PARKEDALE
008370	NDA		ABBVIE
008372	NDA		MALLINCKRODT IRELAND
008381	NDA		ANI PHARMS
008453	NDA		SANDOZ
008506	NDA		MERCK
008565	NDA		WYETH AYERST
008578	NDA		TILDE SCIENCES
