ApplNo	ApplType	ApplPublicNotes	SponsorName
000004	NDA		PHARMICS
000552	NDA		ASPEN GLOBAL INC
000793	NDA		PHARMOBEDIENT
001546	NDA		MERCK SHARP DOHME
002282	NDA		ISO TEX
002386	NDA		GD SEARLE LLC
003444	NDA		ESJAY PHARMA
003977	NDA		PARKEDALE
004054	NDA		LEDERLE
004122	NDA		LILLY
004570	NDA		PHARMACIA AND UPJOHN
004589	NDA		B BRAUN
005010	NDA		QUAGEN
005264	NDA		HOSPIRA
005292	NDA		SCHERING
005378	NDA		AJENAT PHARMS
005509	NDA		LILLY
005521	NDA		LILLY
005545	NDA		ABBVIE
005619	NDA		MERCK
005657	NDA		BRISTOL MYERS SQUIBB
005795	NDA		SHIRE
005856	NDA		ABBVIE
005897	NDA		WYETH PHARMS INC
005929	NDA		BAUSCH
005939	NDA		PROVEPHARM SAS
005970	NDA		ELKINS SINN
006002	NDA		SANOFI AVENTIS US
006008	NDA		NOVARTIS
006035	NDA		EDISON THERAPS LLC
006044	NDA		ABBVIE
006071	NDA		ROCHE
006095	NDA		HOSPIRA
006110	NDA		ORTHO MCNEIL PHARM
006134	NDA		HIKMA
006213	NDA		LILLY
006270	NDA		ARBROOK
006325	NDA		LILLY
006328	NDA		SANOFI AVENTIS US
006383	NDA		MALLINCKRODT INC
006460	NDA		LILLY
006488	NDA		FRESENIUS KABI USA
006525	NDA		ROCHE
006530	NDA		PHARMOBEDIENT
006536	NDA		TEVA BRANDED PHARM
006620	NDA		NOVARTIS
006632	NDA		LILLY
006695	NDA		RECORDATI RARE
006773	NDA		LEDERLE
006799	NDA		BRISTOL MYERS SQUIBB
006800	NDA		ABBVIE
006882	NDA		SANOFI AVENTIS US
006905	NDA		ABBVIE
006920	NDA		LEDERLE
006921	NDA		SCHERING
006927	NDA		JOURNEY
006931	NDA		GLAXOSMITHKLINE
007110	NDA		MERCK
007335	NDA		APOTHECON
007337	NDA		ENDO OPERATIONS
007392	NDA		LILLY
007504	NDA		SANOFI AVENTIS US
007513	NDA		HOSPIRA
007600	NDA		PARKEDALE
007638	NDA		BAYER HEALTHCARE LLC
007750	NDA		MERCK
007883	NDA		TEVA WOMENS
007898	NDA		MERCK
007936	NDA		CHATTEM
008032	NDA		GE HEALTHCARE
008085	NDA		STRIDES PHARMA INTL
008107	NDA		HOSPIRA
008114	NDA		SCHERING
008126	NDA		PHARMACIA AND UPJOHN
008228	NDA		MERCK
008248	NDA		BAXTER HLTHCARE CORP
008278	NDA		NOVARTIS
008303	NDA		NOVARTIS
008316	NDA		SANOFI AVENTIS US
008317	NDA		PARKEDALE
