ticker,company,decision_date,decision_type,close_before,date_before,close_on_or_after,date_on_or_after,close_few_days_later,date_few_days_later,pct_change_on_decision,source_url,verification_status,notes
LGND,Ligand Pharmaceuticals,2024-01-05,Approval,70.36,2024-01-04,70.83,2024-01-05,74.35,2024-01-08,0.67,https://query1.finance.yahoo.com/v8/finance/chart/LGND,Verified,
MDGL,Madrigal Pharmaceuticals,2024-03-14,Approval (Accelerated),262.67,2024-03-13,272.98,2024-03-14,243.57,2024-03-15,3.93,https://query1.finance.yahoo.com/v8/finance/chart/MDGL,Verified,First MASH approval; some retracement next day likely profit-taking
MRK,Merck & Co.,2024-03-26,Approval,123.85,2024-03-25,125.31,2024-03-26,125.52,2024-03-27,1.18,https://query1.finance.yahoo.com/v8/finance/chart/MRK,Verified,Winrevair approval; muted move given MRK's size
AKBA,Akebia Therapeutics,2024-03-27,Approval,2.17,2024-03-26,2.21,2024-03-27,2.0,2024-03-28,1.84,https://query1.finance.yahoo.com/v8/finance/chart/AKBA,Verified,Vafseo approval
INVA,Innoviva,2024-04-03,Approval,15.21,2024-04-02,14.8,2024-04-03,14.81,2024-04-04,-2.7,https://query1.finance.yahoo.com/v8/finance/chart/INVA,Verified,Zevtera approval (3 indications)
IBRX,ImmunityBio,2024-04-22,Approval,5.24,2024-04-19,5.27,2024-04-22,4.94,2024-04-23,0.57,https://query1.finance.yahoo.com/v8/finance/chart/IBRX,Verified,Anktiva approval
DAWN,Day One Biopharmaceuticals,2024-04-23,Approval (Accelerated),,,,,,,,https://query1.finance.yahoo.com/v8/finance/chart/DAWN,Data unavailable - acquired/delisted,"DAWN was acquired by Servier and delisted April 23, 2026; Yahoo Finance chart API no longer serves historical data for delisted tickers under old symbol. Flagged for manual archive lookup (e.g. SEC EDGAR historical filings) if 2024 price needed."
XFOR,X4 Pharmaceuticals,2024-04-26,Approval,36.9,2024-04-25,38.7,2024-04-26,33.9,2024-04-29,4.88,https://query1.finance.yahoo.com/v8/finance/chart/XFOR,Verified - price scale caveat,X4 executed a 1-for-20 reverse stock split in Nov 2024; these 2024-04 prices from Yahoo appear to be split-adjusted retroactively (actual contemporaneous trading price was likely ~$1.75-2.00/share pre-split). Flagged for manual reconciliation.
AMGN,Amgen,2024-05-16,Approval (Accelerated),311.41,2024-05-15,319.04,2024-05-16,314.72,2024-05-17,2.45,https://query1.finance.yahoo.com/v8/finance/chart/AMGN,Verified,Imdelltra approval
GERN,Geron Corporation,2024-06-06,Approval,3.99,2024-06-05,4.0,2024-06-06,3.89,2024-06-07,0.25,https://query1.finance.yahoo.com/v8/finance/chart/GERN,Verified,Rytelo approval
VRNA,Verona Pharma,2024-06-26,Approval,,,,,,,,https://www.investing.com/news/sec-filings/merck-completes-acquisition-of-verona-pharma-vrna-shares-delisted-from-nasdaq-93CH-4274662,Data unavailable - acquired/delisted,Verona Pharma acquired by Merck for $10B ($107/ADS) Oct 2025; VRNA delisted from Nasdaq. Yahoo Finance no longer serves 2024 historical data under this symbol. Flagged for manual archive lookup.
LLY,Eli Lilly and Company,2024-07-02,Approval,905.38,2024-07-01,914.37,2024-07-02,906.71,2024-07-03,0.99,https://query1.finance.yahoo.com/v8/finance/chart/LLY,Verified,Kisunla approval
BMY,Bristol Myers Squibb,2024-09-26,Approval,50.94,2024-09-25,49.95,2024-09-26,50.12,2024-09-27,-1.94,https://query1.finance.yahoo.com/v8/finance/chart/BMY,Verified,Cobenfy approval; slight dip possibly unrelated market noise
ZVRA,Zevra Therapeutics,2024-09-20,Approval,7.83,2024-09-19,8.02,2024-09-20,8.06,2024-09-23,2.43,https://query1.finance.yahoo.com/v8/finance/chart/ZVRA,Verified,Miplyffa approval
JNJ,Johnson & Johnson,2024-08-19,Approval,159.09,2024-08-14,159.39,2024-08-19,,,0.19,https://query1.finance.yahoo.com/v8/finance/chart/JNJ,Verified - approx window,Lazcluze approval; JNJ is large-cap so isolated stock impact expected to be minimal
INCY,Incyte Corporation,2024-08-14,Approval,60.29,2024-08-07,61.12,2024-08-14,,,1.38,https://query1.finance.yahoo.com/v8/finance/chart/INCY,Verified,Niktimvo approval
GILD,Gilead Sciences,2024-08-14,Approval (Accelerated),74.0,2024-08-07,72.99,2024-08-14,,,-1.36,https://query1.finance.yahoo.com/v8/finance/chart/GILD,Verified,Livdelzi approval
ASND,Ascendis Pharma,2024-08-09,Approval,132.26,2024-08-02,139.66,2024-08-09,,,5.6,https://query1.finance.yahoo.com/v8/finance/chart/ASND,Verified,Yorvipath approval
SWTX,SpringWorks Therapeutics,2025-02-11,Approval,,,,,,,,https://stockanalysis.com/stocks/swtx/,Data unavailable - acquired/delisted,"SpringWorks acquired by Merck KGaA ($47/share, $3.9B) closed July 1 2025; SWTX delisted from Nasdaq. Yahoo Finance no longer serves historical data under this symbol for the Feb 2025 approval date."
SNY,Sanofi,2025-03-28,Approval,56.9,2025-03-21,54.5,2025-03-28,,,-4.22,https://query1.finance.yahoo.com/v8/finance/chart/SNY,Verified,Qfitlia approval
GSK,GSK plc,2025-03-25,Approval,40.39,2025-03-18,39.24,2025-03-25,,,-2.85,https://query1.finance.yahoo.com/v8/finance/chart/GSK,Verified,Blujepa approval
NVS,Novartis AG,2025-04-02,Approval (Accelerated),109.61,2025-03-31,111.48,2025-04-02,,,1.71,https://query1.finance.yahoo.com/v8/finance/chart/NVS,Verified,Vanrafia approval
JNJ,Johnson & Johnson,2025-04-29,Approval,157.75,2025-04-22,155.35,2025-04-29,,,-1.52,https://query1.finance.yahoo.com/v8/finance/chart/JNJ,Verified,"Imaavy approval (second JNJ entry, joined by ticker+decision_date)"
ABBV,AbbVie,2025-05-14,Approval (Accelerated),188.09,2025-05-07,188.0,2025-05-14,,,-0.05,https://query1.finance.yahoo.com/v8/finance/chart/ABBV,Verified,Emrelis approval
