year,openfda_orig_ap_count,our_coverage_count,new_entries_added,remaining_gap,type_1_nme,type_1_4,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,efficacy,unknown,verification_status,source,source_url
1980,82,73,0,9,9,0,1,21,2,45,0,0,0,0,0,0,4,GAP +9 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
1981,71,48,0,23,22,1,1,19,2,15,0,0,0,0,0,0,1,GAP +23 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
1982,103,78,0,25,25,0,1,21,4,34,0,0,0,0,0,0,17,GAP +25 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
1983,70,56,0,14,13,0,0,17,3,11,0,0,0,0,0,0,1,GAP +14 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
1984,109,89,0,20,18,1,0,31,9,33,0,0,0,0,0,0,17,GAP +20 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
1985,82,85,0,-3,25,2,1,25,1,27,0,0,0,0,0,0,1,GAP -3 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
1986,80,82,0,-2,19,1,3,26,1,29,0,0,0,0,0,0,1,GAP -2 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
1987,60,60,0,0,21,1,1,19,3,14,0,0,0,0,0,0,0,VERIFIED,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
1988,59,62,0,-3,17,0,1,17,4,20,0,0,0,0,0,0,0,GAP -3 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
1989,88,91,0,-3,22,1,1,38,4,18,0,0,0,0,0,0,3,GAP -3 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
1990,61,61,0,0,22,1,1,29,1,3,2,0,1,0,0,0,0,VERIFIED,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
1991,64,60,0,4,32,0,1,20,2,9,0,0,0,0,0,0,0,GAP +4 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
1992,89,91,0,-2,25,1,1,33,5,22,0,1,1,0,0,0,0,GAP -2 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
1993,70,68,0,2,26,1,1,23,1,17,1,0,0,0,0,0,0,GAP +2 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
1994,63,62,0,1,21,1,0,28,5,6,0,0,0,1,0,0,1,GAP +1 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
1995,89,88,0,1,29,0,5,35,2,12,3,0,2,0,0,0,1,GAP +1 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
1996,144,144,0,0,56,0,4,59,4,7,3,1,7,0,0,0,1,VERIFIED,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
1997,125,127,0,-2,37,1,3,59,13,5,4,1,2,0,0,0,0,GAP -2 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
1998,102,101,0,1,37,0,0,56,4,2,2,0,0,1,0,0,0,GAP +1 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
1999,84,85,0,-1,35,1,3,32,4,2,2,0,1,0,0,0,1,GAP -1 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2000,105,106,0,-1,25,3,1,52,8,3,5,2,1,1,0,0,1,GAP -1 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2001,73,74,0,-1,26,2,2,24,8,7,2,1,1,0,0,0,0,GAP -1 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2002,92,93,1,-1,23,0,1,44,6,7,10,0,0,1,0,0,0,GAP -1 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2003,82,85,0,-3,24,0,5,35,8,2,6,0,0,1,0,0,0,GAP -3 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2004,120,122,3,-2,36,0,1,54,6,9,8,1,0,2,0,0,0,GAP -2 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2005,83,84,1,-1,19,1,1,37,9,10,6,0,0,0,0,0,0,GAP -1 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2006,103,103,0,0,20,2,2,41,10,14,8,0,2,0,0,0,1,VERIFIED,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2007,78,78,0,0,18,0,2,28,4,14,10,0,1,0,0,0,1,VERIFIED,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2008,87,88,2,-1,25,0,3,30,4,14,5,2,0,2,0,0,0,GAP -1 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2009,90,90,0,0,26,0,2,36,5,10,3,6,0,0,0,0,1,VERIFIED,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2010,85,85,0,0,20,1,0,29,13,15,3,3,0,1,0,0,0,VERIFIED,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2011,84,85,2,-1,27,2,0,21,7,20,0,3,1,2,0,0,1,GAP -1 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2012,89,90,1,-1,37,1,1,25,4,14,0,5,0,0,0,2,0,GAP -1 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2013,152,152,0,0,25,2,3,27,4,24,0,2,2,2,0,1,1,VERIFIED,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2014,111,111,3,0,37,4,1,18,9,25,0,4,2,2,1,1,0,VERIFIED,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2015,117,120,3,-3,40,4,0,24,12,28,0,2,0,1,1,1,0,GAP -3 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2016,100,100,0,0,20,2,1,26,11,27,0,5,0,0,0,1,1,VERIFIED,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2017,145,145,1,0,44,3,3,26,12,43,0,2,2,1,1,0,2,VERIFIED,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2018,152,152,12,0,54,5,4,26,9,38,0,0,0,1,2,2,2,VERIFIED,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2019,131,131,47,0,47,2,6,25,5,29,0,1,0,1,0,1,4,VERIFIED,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2020,131,131,16,0,52,2,4,22,6,23,0,1,0,3,3,2,8,VERIFIED,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2021,120,121,1,-1,45,4,8,17,6,31,0,0,1,0,2,1,2,GAP -1 — flagged for review,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2022,126,126,38,0,36,2,7,20,1,40,0,2,1,0,2,2,8,VERIFIED,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2023,136,136,55,0,52,3,4,26,6,33,0,0,0,0,3,1,5,VERIFIED,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2024,135,135,44,0,49,3,9,35,1,17,0,0,0,1,0,1,14,VERIFIED,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2025,155,155,46,0,47,0,7,36,4,26,0,1,0,1,3,2,23,VERIFIED,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
2026,87,87,14,0,37,3,2,7,4,20,0,0,1,0,0,0,11,VERIFIED,openFDA Drugs@FDA API (api.fda.gov/drug/drugsfda.json) payloads committed in data/raw/openfda_orig_decisions_*,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""&limit=1000"
